county,state,Clinton,Trump
Sumter,AL,0.740290126,0.246607394
Talladega,AL,0.36282815,0.617056306
Tallapoosa,AL,0.283228985,0.697629067
Tuscaloosa,AL,0.384062878,0.577061669
Walker,AL,0.152585505,0.823357763
Washington,AL,0.278213993,0.708074534
Wilcox,AL,0.708639556,0.284501062
Winston,AL,0.084553476,0.89479298
Alabama,AL,0.343579458,0.620830924
District 1,AK,0.387616752,0.479059958
District 2,AK,0.288601602,0.580480699
District 3,AK,0.16301064,0.70970708
District 4,AK,0.437138956,0.427476105
District 5,AK,0.403111561,0.465848722
District 6,AK,0.299763593,0.582624113
District 7,AK,0.18205932,0.715577526
District 8,AK,0.150873281,0.758825715
District 9,AK,0.205829797,0.681259772
District 10,AK,0.2,0.691924779
District 11,AK,0.221075446,0.665084116
District 12,AK,0.202032904,0.69464529
District 13,AK,0.257768253,0.616562069
District 14,AK,0.292034549,0.573704415
District 15,AK,0.366920915,0.506824568
District 16,AK,0.442980097,0.430742335
District 17,AK,0.484678845,0.385680613
District 18,AK,0.528100513,0.362604701
District 19,AK,0.55696995,0.341402337
District 20,AK,0.581372549,0.306302521
District 21,AK,0.488493119,0.40233607
District 22,AK,0.390587673,0.502030578
District 23,AK,0.417966493,0.468804159
District 24,AK,0.385145318,0.506889128
District 25,AK,0.415651532,0.469545958
District 26,AK,0.378888265,0.510724312
District 27,AK,0.424570192,0.46510304
District 28,AK,0.415594644,0.474577754
District 29,AK,0.223653396,0.675644028
District 30,AK,0.202905028,0.692067039
District 31,AK,0.340404636,0.551659792
District 32,AK,0.361482869,0.503747323
District 33,AK,0.601771693,0.2750151
District 34,AK,0.447460503,0.41936168
District 35,AK,0.414620659,0.45399248
District 36,AK,0.325871249,0.539690223
District 37,AK,0.478269459,0.382852627
District 38,AK,0.541315015,0.224337586
District 39,AK,0.557190991,0.249157652
District 40,AK,0.507158351,0.298698482
Overseas,AK,0.801169591,0.116959064
Alaska,AK,0.365508713,0.512815121
Apache,AZ,0.617584325,0.297892339
Cochise,AZ,0.348895331,0.561671499
Coconino,AZ,0.542017931,0.353071056
Gila,AZ,0.311037086,0.629891184
Graham,AZ,0.268789187,0.653448416
Greenlee,AZ,0.330909091,0.573333333
La Paz,AZ,0.264661401,0.672660057
Maricopa,AZ,0.448329989,0.476683756
Mohave,AZ,0.218343069,0.729044444
Navajo,AZ,0.408472725,0.510671564
Pima,AZ,0.532826582,0.397087563
Pinal,AZ,0.369691075,0.562109212
Santa Cruz,AZ,0.711373456,0.23714477
Yavapai,AZ,0.310965487,0.62324159
Yuma,AZ,0.464157706,0.474721751
Arizona,AZ,0.445804188,0.480831449
Arkansas,AR,0.312137798,0.615904701
Ashley,AR,0.297909192,0.660398367
Baxter,AR,0.210917738,0.742790651
Benton,AR,0.28923614,0.628676774
Boone,AR,0.181615046,0.75941903
Bradley,AR,0.360525595,0.592389817
Calhoun,AR,0.28162186,0.685764654
Carroll,AR,0.310652538,0.630786392
Chicot,AR,0.562739464,0.41091954
Clark,AR,0.424583627,0.51653765
Clay,AR,0.230576923,0.727115385
Cleburne,AR,0.173851882,0.782623086
Cleveland,AR,0.215563506,0.734048897
Columbia,AR,0.353325082,0.61393046
Conway,AR,0.335057399,0.611706825
Craighead,AR,0.296235909,0.643521772
Crawford,AR,0.199910913,0.74325167
Crittenden,AR,0.52720662,0.436559679
Cross,AR,0.290805935,0.666860634
Dallas,AR,0.420425839,0.544568748
Desha,AR,0.523373268,0.450786939
Drew,AR,0.358605004,0.60166793
Faulkner,AR,0.307803985,0.617459549
Franklin,AR,0.203249631,0.744313146
Fulton,AR,0.223595977,0.72736798
Garland,AR,0.301703223,0.639308908
Grant,AR,0.184419073,0.768972465
Greene,AR,0.210342466,0.734246575
Hempstead,AR,0.337210952,0.624343879
Hot Spring,AR,0.263647019,0.6841929
Howard,AR,0.289045785,0.675438596
Independence,AR,0.211620391,0.729836933
Izard,AR,0.204295154,0.741923642
Jackson,AR,0.307020946,0.633630721
Jefferson,AR,0.609098633,0.357225612
Johnson,AR,0.266352063,0.668459175
Lafayette,AR,0.360839161,0.614685315
Lawrence,AR,0.222163588,0.714863676
Lee,AR,0.573364177,0.406146728
Lincoln,AR,0.32723471,0.641662311
Little River,AR,0.267266118,0.689688158
Logan,AR,0.216513067,0.725413458
Lonoke,AR,0.20900369,0.736457565
Madison,AR,0.232129806,0.72036252
Marion,AR,0.2017729,0.750809061
Miller,AR,0.265552172,0.70188304
Mississippi,AR,0.429415329,0.534762193
Monroe,AR,0.454923717,0.51629681
Montgomery,AR,0.210171396,0.742624333
Nevada,AR,0.356438694,0.616142945
Newton,AR,0.186250999,0.766053824
Ouachita,AR,0.434927026,0.538600906
Perry,AR,0.243613562,0.698560149
Phillips,AR,0.619876312,0.351790594
Pike,AR,0.17206732,0.791258478
Poinsett,AR,0.243460243,0.712509713
Polk,AR,0.147248208,0.804033532
Pope,AR,0.221542824,0.72028003
Prairie,AR,0.236353078,0.727351916
Pulaski,AR,0.560622371,0.383393
Randolph,AR,0.223389246,0.706850604
St. Francis,AR,0.542530283,0.430013459
Saline,AR,0.254433781,0.688349328
Scott,AR,0.171509972,0.778062678
Searcy,AR,0.161212446,0.792650215
Sebastian,AR,0.275556153,0.652530412
Sevier,AR,0.235642262,0.719421306
Sharp,AR,0.203062491,0.745895986
Stone,AR,0.21570737,0.737493276
Union,AR,0.346572748,0.618917959
Van Buren,AR,0.211064178,0.733342417
Washington,AR,0.407593359,0.506663735
White,AR,0.184649452,0.752776885
Woodruff,AR,0.434850253,0.523920653
Yell,AR,0.229849355,0.715639074
Arkansas,AR,0.336531241,0.605741022
Alameda,CA,0.780604146,0.145437068
Alpine,CA,0.554817276,0.360465116
Amador,CA,0.33424261,0.583699827
Butte,CA,0.428516938,0.465392466
Calaveras,CA,0.337597212,0.574178743
Colusa,CA,0.397342093,0.53023742
Contra Costa,CA,0.675005391,0.24514285
Del Norte,CA,0.364616028,0.537141661
El Dorado,CA,0.382599922,0.517577694
Fresno,CA,0.492370986,0.432133128
Glenn,CA,0.323653643,0.611193242
Humboldt,CA,0.553204252,0.306145233
Imperial,CA,0.679274708,0.264165852
Inyo,CA,0.385743978,0.519378897
Kern,CA,0.404193101,0.530727424
Kings,CA,0.396881376,0.527338968
Lake,CA,0.465888835,0.429549506
Lassen,CA,0.207869894,0.707916628
Los Angeles,CA,0.717572215,0.224133363
Madera,CA,0.391408279,0.536856138
Marin,CA,0.772708856,0.154752173
Mariposa,CA,0.351695393,0.584093725
Mendocino,CA,0.582328894,0.287168667
Merced,CA,0.527158174,0.405783384
Modoc,CA,0.22820713,0.701535259
Mono,CA,0.525089945,0.399734899
Monterey,CA,0.66778604,0.261566023
Napa,CA,0.638711465,0.283696148
Nevada,CA,0.474251388,0.425320834
Orange,CA,0.509353072,0.42349821
Placer,CA,0.395158689,0.511428633
Plumas,CA,0.351167513,0.550253807
Riverside,CA,0.497337605,0.443501453
Sacramento,CA,0.579818064,0.337531679
San Benito,CA,0.565997649,0.35444354
San Bernardino,CA,0.521164923,0.414750842
San Diego,CA,0.562979179,0.36571188
San Francisco,CA,0.844674096,0.092250227
San Joaquin,CA,0.533581202,0.391785094
San Luis Obispo,CA,0.489110946,0.409352633
San Mateo,CA,0.756660644,0.184261922
Santa Barbara,CA,0.598966894,0.315103031
Santa Clara,CA,0.727124422,0.205803819
Santa Cruz,CA,0.732616989,0.172584069
Shasta,CA,0.275239435,0.639045221
Sierra,CA,0.323466093,0.564047363
Siskiyou,CA,0.352998585,0.553408481
Solano,CA,0.608742194,0.30877193
Sonoma,CA,0.687667968,0.220348645
Stanislaus,CA,0.468143298,0.450064791
Sutter,CA,0.386589404,0.537369915
Tehama,CA,0.284800067,0.648067592
Trinity,CA,0.382780083,0.486168741
Tulare,CA,0.41703914,0.510937582
Tuolumne,CA,0.352334608,0.561966555
Ventura,CA,0.545908954,0.371582137
Yolo,CA,0.666975271,0.252637349
Yuba,CA,0.343942952,0.572658492
California,CA,0.614823556,0.314921175
Adams,CO,0.498551712,0.413482241
Alamosa,CO,0.459576308,0.438968151
Arapahoe,CO,0.527589689,0.386252343
Archuleta,CO,0.340645865,0.581005587
Baca,CO,0.131444496,0.814212726
Bent,CO,0.306175402,0.616502335
Boulder,CO,0.703361769,0.220021792
Broomfield,CO,0.523507562,0.381188644
Chaffee,CO,0.434488889,0.4792
Cheyenne,CO,0.119782214,0.83938294
Clear Creek,CO,0.465223321,0.438970338
Conejos,CO,0.440328195,0.475882645
Costilla,CO,0.608766234,0.318181818
Crowley,CO,0.222003929,0.706614276
Custer,CO,0.259947815,0.67221135
Delta,CO,0.243418702,0.694163192
Denver,CO,0.736927908,0.188909514
Dolores,CO,0.192828685,0.752191235
Douglas,CO,0.366170667,0.547056
Eagle,CO,0.558973952,0.356420727
Elbert,CO,0.19612015,0.732478098
El Paso,CO,0.33862331,0.561899626
Fremont,CO,0.241068584,0.688208256
Garfield,CO,0.425802796,0.496108802
Gilpin,CO,0.456935123,0.437919463
Grand,CO,0.391010713,0.523288309
Gunnison,CO,0.544836379,0.349447514
Hinsdale,CO,0.334465195,0.575551783
Huerfano,CO,0.431667988,0.497753106
Jackson,CO,0.198606272,0.730545877
Jefferson,CO,0.488854699,0.420140293
Kiowa,CO,0.106432749,0.851461988
Kit Carson,CO,0.144786602,0.801458671
Lake,CO,0.505157862,0.396999062
La Plata,CO,0.498394864,0.404077047
Larimer,CO,0.475112383,0.425704533
Las Animas,CO,0.390107464,0.546150449
Lincoln,CO,0.167898194,0.776683087
Logan,CO,0.190392923,0.749022835
Mesa,CO,0.279818168,0.641035877
Mineral,CO,0.363496933,0.527607362
Moffat,CO,0.13394636,0.81302682
Montezuma,CO,0.308990512,0.610748172
Montrose,CO,0.258000566,0.67884452
Morgan,CO,0.263461538,0.681020067
Otero,CO,0.348201609,0.583057265
Ouray,CO,0.512688822,0.4081571
Park,CO,0.328405491,0.588941154
Phillips,CO,0.186963979,0.768010292
Pitkin,CO,0.696854509,0.242326333
Prowers,CO,0.236443381,0.703947368
Pueblo,CO,0.456157974,0.461116904
Rio Blanco,CO,0.126376812,0.808985507
Rio Grande,CO,0.361582942,0.557462956
Routt,CO,0.543400543,0.373945374
Saguache,CO,0.499823633,0.404585538
San Juan,CO,0.523715415,0.424901186
San Miguel,CO,0.687225687,0.238623239
Sedgwick,CO,0.195747801,0.744134897
Summit,CO,0.590886608,0.315320885
Teller,CO,0.249446137,0.674674605
Washington,CO,0.108305891,0.841200146
Weld,CO,0.343491102,0.565982426
Yuma,CO,0.151534126,0.803590065
Colorado,CO,0.481565127,0.432509773
Fairfield,CT,0.578933499,0.380041737
Hartford,CT,0.590868202,0.364183118
Litchfield,CT,0.40819154,0.544436691
Middlesex,CT,0.511791388,0.438560661
New Haven,CT,0.542495369,0.419645072
New London,CT,0.504161,0.437617382
Tolland,CT,0.497339326,0.441646001
Windham,CT,0.428782244,0.506601342
Connecticut,CT,0.545663011,0.409269144
Kent,DE,0.446292604,0.49500194
New Castle,DE,0.619513345,0.325216082
Sussex,DE,0.370695342,0.590079732
Delaware,DE,0.530859775,0.417127445
District of Columbia,FL,0.908638215,0.040874745
District of Columbia,FL,0.582782475,0.359984627
Alachua,FL,0.166233766,0.810232192
Baker,FL,0.247069892,0.704971549
Bay,FL,0.240500082,0.733097549
Bradford,FL,0.376182259,0.571595613
Brevard,FL,0.660768963,0.311624958
Broward,FL,0.202513055,0.759627937
Calhoun,FL,0.344130388,0.619609619
Charlotte,FL,0.283402975,0.677212356
Citrus,FL,0.259250631,0.69851934
Clay,FL,0.354095415,0.611112399
Collier,FL,0.263338415,0.705654102
Columbia,FL,0.346785288,0.621663762
DeSoto,FL,0.175269114,0.803477781
Dixie,FL,0.471178932,0.48484904
Duval,FL,0.372707106,0.576031964
Escambia,FL,0.379843758,0.583751531
Flagler,FL,0.287836277,0.680805413
Franklin,FL,0.676150176,0.302872063
Gadsden,FL,0.172096317,0.795561851
Gilchrist,FL,0.290050205,0.68370607
Glades,FL,0.234620106,0.726913109
Gulf,FL,0.346749226,0.627026043
Hamilton,FL,0.281098757,0.685676913
Hardee,FL,0.412716866,0.554015382
Hendry,FL,0.335918268,0.623025642
Hernando,FL,0.32463976,0.642563735
Highlands,FL,0.509854444,0.44191823
Hillsborough,FL,0.09969612,0.87459093
Holmes,FL,0.359581027,0.601963625
Indian River,FL,0.302329978,0.67380311
Jackson,FL,0.460528027,0.511119782
Jefferson,FL,0.151861624,0.823512167
Lafayette,FL,0.365764644,0.594811378
Lake,FL,0.379021344,0.581243135
Lee,FL,0.598306484,0.34975728
Leon,FL,0.261603159,0.706446484
Levy,FL,0.196557971,0.76781401
Liberty,FL,0.412880562,0.568032787
Madison,FL,0.394031766,0.563983691
Manatee,FL,0.352706083,0.613035816
Marion,FL,0.348423811,0.614130874
Martin,FL,0.632244419,0.338332704
Miami-Dade,FL,0.441422156,0.509667962
Monroe,FL,0.231294688,0.729187947
Nassau,FL,0.232918038,0.704170585
Okaloosa,FL,0.287697115,0.67989245
Okeechobee,FL,0.597740179,0.353714971
Orange,FL,0.604080075,0.355564509
Osceola,FL,0.562393052,0.408881857
Palm Beach,FL,0.370550634,0.584140752
Pasco,FL,0.469764918,0.480820527
Pinellas,FL,0.409218417,0.548595841
Polk,FL,0.303114021,0.664784841
Putnam,FL,0.312660505,0.643355629
St. Johns,FL,0.471016177,0.49501736
St. Lucie,FL,0.208199901,0.736761986
Santa Rosa,FL,0.4230332,0.5378707
Sarasota,FL,0.465502844,0.481013159
Seminole,FL,0.293094073,0.682695046
Sumter,FL,0.210996966,0.760472667
Suwannee,FL,0.230209671,0.741335045
Taylor,FL,0.177210765,0.798322265
Union,FL,0.414356688,0.543178693
Volusia,FL,0.281533282,0.680652681
Wakulla,FL,0.202843826,0.759808838
Walton,FL,0.201944519,0.770404067
Washington,GA,0.474070813,0.485952746
Florida,GA,0.20450656,0.783513976
Appling,GA,0.267049808,0.71954023
Atkinson,GA,0.151243781,0.83681592
Bacon,GA,0.451388889,0.538194444
Baker,GA,0.494539588,0.477599901
Baldwin,GA,0.098064516,0.879426523
Banks,GA,0.226420288,0.726334262
Barrow,GA,0.206679586,0.75279994
Bartow,GA,0.353942049,0.629885445
Ben Hill,GA,0.158877086,0.82276176
Berrien,GA,0.587689309,0.384098025
Bibb,GA,0.221351025,0.747687977
Bleckley,GA,0.098238375,0.883510554
Brantley,GA,0.398989899,0.584122475
Brooks,GA,0.26454887,0.693930007
Bryan,GA,0.365816085,0.596342234
Bulloch,GA,0.505935194,0.48026949
Burke,GA,0.269707799,0.706012193
Butts,GA,0.582222222,0.409876543
Calhoun,GA,0.31097593,0.64555037
Camden,GA,0.272654797,0.707945788
Candler,GA,0.280348186,0.675431296
Carroll,GA,0.177097253,0.774907201
Catoosa,GA,0.25,0.734810757
Charlton,GA,0.550990261,0.404136186
Chatham,GA,0.427338129,0.54028777
Chattahoochee,GA,0.195467765,0.783082889
Chattooga,GA,0.22371081,0.715074833
Cherokee,GA,0.650958747,0.279642009
Clarke,GA,0.54752553,0.44461901
Clay,GA,0.835862364,0.135125027
Clayton,GA,0.279429735,0.703462322
Clinch,GA,0.479320956,0.457740871
Cobb,GA,0.294214876,0.689040604
Coffee,GA,0.254183793,0.726512038
Colquitt,GA,0.289646817,0.660741945
Columbia,GA,0.289417203,0.689450223
Cook,GA,0.266564861,0.68370037
Coweta,GA,0.274536321,0.702279753
Crawford,GA,0.377662407,0.60556443
Crisp,GA,0.154597885,0.809195771
Dade,GA,0.12250423,0.837563452
Dawson,GA,0.400933307,0.585261521
Decatur,GA,0.790847226,0.161925946
DeKalb,GA,0.262376944,0.716364674
Dodge,GA,0.485099767,0.505571392
Dooly,GA,0.68386775,0.300173087
Dougherty,GA,0.5369947,0.429820915
Douglas,GA,0.45308255,0.533333333
Early,GA,0.131979695,0.851945854
Echols,GA,0.206880382,0.761957541
Effingham,GA,0.317891574,0.662576687
Elbert,GA,0.309796438,0.678753181
Emanuel,GA,0.31275948,0.665375035
Evans,GA,0.161923206,0.811047491
Fannin,GA,0.378533921,0.569784266
Fayette,GA,0.262736661,0.691738382
Floyd,GA,0.237076108,0.705822319
Forsyth,GA,0.145380117,0.82502924
Franklin,GA,0.677037773,0.26845067
Fulton,GA,0.153840132,0.820245831
Gilmer,GA,0.099280576,0.888489209
Glascock,GA,0.341928739,0.624676946
Glynn,GA,0.166876508,0.796925821
Gordon,GA,0.327037881,0.657006404
Grady,GA,0.361387257,0.620198825
Greene,GA,0.502048648,0.44414262
Gwinnett,GA,0.152023511,0.807567501
Habersham,GA,0.227432459,0.727179444
Hall,GA,0.754469274,0.23547486
Hancock,GA,0.129875847,0.84397288
Haralson,GA,0.247606351,0.723306266
Harris,GA,0.255510527,0.720173965
Hart,GA,0.175941274,0.798010893
Heard,GA,0.503758793,0.460152767
Henry,GA,0.375389071,0.589723531
Houston,GA,0.242779292,0.740054496
Irwin,GA,0.163779585,0.794427628
Jackson,GA,0.255417701,0.721257237
Jasper,GA,0.176805338,0.80533752
Jeff Davis,GA,0.548363949,0.439580941
Jefferson,GA,0.367473822,0.620091623
Jenkins,GA,0.308193163,0.683396636
Johnson,GA,0.315592383,0.661700263
Jones,GA,0.298213347,0.681818182
Lamar,GA,0.280738419,0.691048415
Lanier,GA,0.345724526,0.635483871
Laurens,GA,0.22413915,0.752739871
Lee,GA,0.591959363,0.379978938
Liberty,GA,0.310336421,0.672598732
Lincoln,GA,0.330337624,0.63784309
Long,GA,0.398465811,0.572278799
Lowndes,GA,0.177358792,0.768474874
Lumpkin,GA,0.399115235,0.586102719
McDuffie,GA,0.390140606,0.590716585
McIntosh,GA,0.630977373,0.359225566
Macon,GA,0.200728417,0.761609138
Madison,GA,0.380250784,0.602194357
Marion,GA,0.412715634,0.566561788
Meriwether,GA,0.244889937,0.74331761
Miller,GA,0.443274112,0.543020305
Mitchell,GA,0.28146922,0.696145661
Monroe,GA,0.236856823,0.746644295
Montgomery,GA,0.281055409,0.692242744
Morgan,GA,0.144485471,0.830069032
Murray,GA,0.5731895,0.388004315
Muscogee,GA,0.49602152,0.47273837
Newton,GA,0.276986451,0.666286168
Oconee,GA,0.274348217,0.692987714
Oglethorpe,GA,0.275274893,0.682070861
Paulding,GA,0.474330357,0.50344122
Peach,GA,0.140773937,0.828780765
Pickens,GA,0.123512515,0.861988784
Pierce,GA,0.142120344,0.834154728
Pike,GA,0.201688357,0.774815336
Polk,GA,0.306241331,0.676005548
Pulaski,GA,0.290682968,0.689713322
Putnam,GA,0.441570881,0.550766284
Quitman,GA,0.180680681,0.786661662
Rabun,GA,0.55122456,0.438427044
Randolph,GA,0.642078264,0.321749425
Richmond,GA,0.610575787,0.353874025
Rockdale,GA,0.210057622,0.771084337
Schley,GA,0.402449694,0.578302712
Screven,GA,0.331382386,0.653567447
Seminole,GA,0.364028945,0.608699035
Spalding,GA,0.187162506,0.783087112
Stephens,GA,0.593780369,0.391156463
Stewart,GA,0.503007108,0.480772736
Sumter,GA,0.616759088,0.368453481
Talbot,GA,0.607580825,0.389074693
Taliaferro,GA,0.243517311,0.738229755
Tattnall,GA,0.38028169,0.605633803
Taylor,GA,0.345890411,0.645416228
Telfair,GA,0.541179279,0.447362139
Terrell,GA,0.379853207,0.597170514
Thomas,GA,0.305717702,0.674027709
Tift,GA,0.255854673,0.723900197
Toombs,GA,0.178888232,0.795830869
Towns,GA,0.31890492,0.669256382
Treutlen,GA,0.371988817,0.603194056
Troup,GA,0.366686286,0.616539141
Turner,GA,0.485587583,0.501355014
Twiggs,GA,0.162729006,0.816712261
Union,GA,0.317815987,0.666910554
Upson,GA,0.175947571,0.791033562
Walker,GA,0.203744656,0.764779596
Walton,GA,0.282337492,0.698703217
Ware,GA,0.562982005,0.424592973
Warren,GA,0.496395225,0.490367569
Washington,GA,0.196004994,0.782963603
Wayne,GA,0.423835125,0.564516129
Webster,GA,0.307326356,0.676022835
Wheeler,GA,0.140530557,0.819425789
White,GA,0.258888381,0.702492009
Whitfield,GA,0.286290323,0.704301075
Wilcox,GA,0.411948284,0.573339278
Wilkes,GA,0.441800793,0.544203406
Wilkinson,GA,0.243520193,0.741651597
Worth,HI,0.453455761,0.504438183
Georgia,HI,0.636055313,0.269798202
Hawaii,HI,0.614773085,0.316057245
Honolulu,HI,0.624871844,0.287602051
Kauai,HI,0.644527866,0.258850707
Maui,ID,0.622214917,0.30038677
Hawaii,ID,0.386760294,0.479135683
Ada,ID,0.19010536,0.712780577
Adams,ID,0.309492459,0.51412497
Bannock,ID,0.087090164,0.75239071
Bear Lake,ID,0.183990442,0.741457587
Benewah,ID,0.175879699,0.65606015
Bingham,ID,0.598284222,0.311450951
Blaine,ID,0.203723125,0.700839014
Boise,ID,0.277849401,0.637110252
Bonner,ID,0.201940255,0.603762918
Bonneville,ID,0.18070889,0.733875654
Boundary,ID,0.130081301,0.743089431
Butte,ID,0.186440678,0.694915254
Camas,ID,0.231957134,0.648787525
Canyon,ID,0.089291598,0.749588138
Caribou,ID,0.12668134,0.727439472
Cassia,ID,0.155477032,0.717314488
Clark,ID,0.185214417,0.750328861
Clearwater,ID,0.176884838,0.736122618
Custer,ID,0.212860831,0.682468904
Elmore,ID,0.07001273,0.709401709
Franklin,ID,0.113910761,0.715660542
Fremont,ID,0.154513452,0.751822982
Gem,ID,0.179156232,0.721055673
Gooding,ID,0.145269039,0.782339366
Idaho,ID,0.085054466,0.735163399
Jefferson,ID,0.196859724,0.687898089
Jerome,ID,0.245272206,0.670321219
Kootenai,ID,0.445330986,0.399768888
Latah,ID,0.178955078,0.735107422
Lemhi,ID,0.169811321,0.755974843
Lewis,ID,0.205949657,0.677345538
Lincoln,ID,0.076555329,0.569926058
Madison,ID,0.169844273,0.711250182
Minidoka,ID,0.280681356,0.621998721
Nez Perce,ID,0.088974855,0.74032882
Oneida,ID,0.150573248,0.777579618
Owyhee,ID,0.173138787,0.745519301
Payette,ID,0.253444525,0.604060914
Power,ID,0.2703125,0.643945313
Shoshone,ID,0.433882637,0.435490354
Teton,ID,0.208642967,0.663720961
Twin Falls,ID,0.357636941,0.543279118
Valley,ID,0.174186308,0.736924804
Washington,IL,0.274849261,0.592461542
Idaho,IL,0.237573507,0.705354379
Adams,IL,0.44751773,0.530496454
Alexander,IL,0.27318362,0.645706737
Bond,IL,0.390678666,0.533976784
Boone,IL,0.200084069,0.75493905
Brown,IL,0.363828375,0.56007483
Bureau,IL,0.287436795,0.669389343
Calhoun,IL,0.328676964,0.595567495
Carroll,IL,0.316354411,0.62763466
Cass,IL,0.547179901,0.364168158
Champaign,IL,0.257931124,0.681204368
Christian,IL,0.236755802,0.70913219
Clark,IL,0.160629921,0.790708661
Clay,IL,0.226476836,0.712555256
Clinton,IL,0.333470207,0.593256684
Coles,IL,0.739308109,0.207897011
Cook,IL,0.227943701,0.718274402
Crawford,IL,0.185065518,0.754981152
Cumberland,IL,0.46940367,0.437866972
DeKalb,IL,0.252779248,0.671916358
De Witt,IL,0.237827944,0.695302013
Douglas,IL,0.530846998,0.386405959
DuPage,IL,0.226990758,0.714647424
Edgar,IL,0.130565584,0.835740072
Edwards,IL,0.176030604,0.778520041
Effingham,IL,0.18965697,0.768637264
Fayette,IL,0.221075672,0.700437774
Ford,IL,0.252632142,0.700978034
Franklin,IL,0.388238273,0.537570425
Fulton,IL,0.2427041,0.717399335
Gallatin,IL,0.215756491,0.742166517
Greene,IL,0.347075784,0.578990403
Grundy,IL,0.192974013,0.771414822
Hamilton,IL,0.234513759,0.704966561
Hancock,IL,0.195530726,0.769553073
Hardin,IL,0.328311541,0.612563957
Henderson,IL,0.364087831,0.573979068
Henry,IL,0.19111586,0.744161197
Iroquois,IL,0.472600236,0.440467969
Jackson,IL,0.180751174,0.77758216
Jasper,IL,0.26030943,0.687981646
Jefferson,IL,0.243744882,0.704940406
Jersey,IL,0.393682725,0.540056467
Jo Daviess,IL,0.187551322,0.763507965
Johnson,IL,0.51913745,0.414318408
Kane,IL,0.401035831,0.531212345
Kankakee,IL,0.460345944,0.461770419
Kendall,IL,0.44807359,0.477136382
Knox,IL,0.563702557,0.361646679
Lake,IL,0.3928794,0.536537804
LaSalle,IL,0.212941565,0.746285903
Lawrence,IL,0.356898444,0.556007489
Lee,IL,0.262221353,0.665363056
Livingston,IL,0.267155875,0.659704863
Logan,IL,0.402312842,0.516965916
McDonough,IL,0.422448412,0.497547419
McHenry,IL,0.445083862,0.457884511
McLean,IL,0.381668747,0.559009571
Macon,IL,0.298736099,0.639631995
Macoupin,IL,0.388595703,0.541485186
Madison,IL,0.255526962,0.693589894
Marion,IL,0.298963904,0.632520053
Marshall,IL,0.310180194,0.624980748
Mason,IL,0.232641481,0.723607585
Massac,IL,0.278894858,0.649424405
Menard,IL,0.360234604,0.563870968
Mercer,IL,0.285987393,0.652526609
Monroe,IL,0.269995377,0.66497149
Montgomery,IL,0.317297297,0.613243243
Morgan,IL,0.235715423,0.709056183
Moultrie,IL,0.332740875,0.593229447
Ogle,IL,0.481150919,0.450469015
Peoria,IL,0.249341705,0.694247519
Perry,IL,0.291942605,0.621854305
Piatt,IL,0.187649402,0.764143426
Pike,IL,0.175070028,0.783380019
Pope,IL,0.351736746,0.612431444
Pulaski,IL,0.368573265,0.567802057
Putnam,IL,0.242285473,0.706143441
Randolph,IL,0.207085894,0.750294156
