county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Chattahoochee ,GA,11837,11267,22.6,4.1,32.7,72.2,19.3,2.8,15,5.6,92.5,27.5,581,14.2,28.8,20042,48758,11.9,248.74,45.3,47.58784273
Chattooga ,GA,24939,26015,22.6,16.5,48.8,86.6,10.4,0.6,4.8,3.1,69,7.7,1540,23.4,69.7,16045,33228,24,313.34,83,79.59085977
Cherokee ,GA,230985,214346,26,11.9,50.7,89,6.6,1.9,10.1,8.6,88.9,34.2,14589,31.9,79.1,29615,67261,9.8,421.67,508.3,547.7861835
Clarke ,GA,120938,116714,17.6,9.7,52.3,65.5,27.7,4.4,10.8,10.4,85.1,39.5,5581,19,43.9,19295,33060,36.7,119.2,979.1,1014.580537
Clay ,GA,3102,3183,21.8,23.3,53.1,38.6,59.5,0.5,1.1,1.2,77.9,7.9,234,26.4,66.6,12982,21192,44.5,195.38,16.3,15.87675299
Clayton ,GA,267542,259424,28.3,8.3,52.6,23.6,68.3,5.3,13.1,15.2,81.7,18,18030,29.4,55.3,17950,40606,24,141.57,1832.5,1889.82129
Clinch ,GA,6831,6798,25.9,15,51,69,28.3,0.2,4.2,2.6,71.1,12.5,479,21.1,68.7,17815,30345,29.1,800.22,8.5,8.536402489
Cobb ,GA,730981,688078,24.6,10.6,51.6,64.6,27.3,5.1,12.7,15.1,90.8,43.7,44559,29.5,66.4,33069,63920,12.8,339.55,2026.4,2152.793403
Coffee ,GA,42811,42356,24.7,12.3,48.7,69.4,28,0.9,10.9,6.1,75.5,12.9,2488,19.9,69.4,17031,35693,24.3,575.1,73.7,74.44096679
Colquitt ,GA,46102,45498,26.8,14,50.4,73.1,23.2,1,18.3,10.9,72.1,13.1,2367,21.1,66.2,17025,32484,26.7,544.15,83.6,84.72296242
Columbia ,GA,139257,124053,26,11.8,51.1,75.4,16.9,4.2,6.2,6.8,91.3,34.1,13290,24.5,78.9,30949,69306,8.3,290.09,427.6,480.0475714
Cook ,GA,17214,17212,26.6,14.7,51.6,69.8,27.8,0.8,6.1,3.4,74.8,12.4,1147,25.3,73.4,18592,34985,23.1,227.16,75.8,75.77918648
Coweta ,GA,135571,127317,25.7,12.4,51.2,77.7,18,1.9,6.7,5.8,87.8,26.9,10406,30.6,74.5,26757,60813,12.7,440.89,288.8,307.4939327
Crawford ,GA,12387,12630,21.2,16.9,49.4,76.2,21.3,0.4,3.1,0.8,78.7,13,887,28.2,79,20556,41586,20.6,324.89,38.9,38.12675059
Crisp ,GA,22934,23439,24.9,16,52.4,53.8,43.6,1,3.2,1.5,79.5,15.5,1664,19.1,59.8,18185,35240,31.2,272.58,86,84.13676719
Dade ,GA,16389,16633,19.8,17,50.8,95.6,1.4,1.1,2.1,1.6,80.3,17,1342,27.4,77.8,21690,43205,15.9,173.98,95.6,94.20048281
Dawson ,GA,22957,22330,21.8,17.9,49.9,96.4,0.9,0.7,4,3.8,85.8,24.4,1913,31.8,73.7,27330,53525,15.6,210.83,105.9,108.8886781
Decatur ,GA,27220,27842,24.7,15.4,51.4,55.7,41.6,0.7,5.6,3,78.4,14.7,1577,23.2,64.3,18059,30619,27.1,597.14,46.6,45.58395016
DeKalb ,GA,722161,691893,23.7,10.4,52.5,36.7,54.8,5.9,8.9,16.3,88.4,39.7,41447,30.7,56.7,28810,50856,19,267.58,2585.7,2698.860154
Dodge ,GA,20976,21796,20.9,15.2,47.8,68,30,0.5,3.4,2.1,80.2,15.2,1499,24.2,65.7,18114,37292,19.8,495.89,44,42.29970356
Dooly ,GA,14188,14918,19.8,15.7,46,47.6,50.5,0.7,7.3,4.2,70.9,10.1,1214,19.7,66.7,14510,29012,29,391.94,38.1,36.19941828
Dougherty ,GA,92407,94565,24.9,13.6,53.5,29,68.4,1,2.6,2.4,79.9,17.8,7326,18.3,47.3,18619,31671,31.2,328.69,287.7,281.1372418
Douglas ,GA,138776,132403,26.9,10.3,52.1,51.8,43.5,1.7,8.9,8.4,87.2,24.4,10690,31.8,69.8,23626,52691,16.1,200.07,661.8,693.637227
Early ,GA,10491,11008,25.2,18.4,52.8,48.2,49.9,0.6,2.2,0.8,76.7,12.9,728,22.7,64.7,17579,28853,31.6,512.59,21.5,20.46664976
Echols ,GA,4003,4034,27.7,11.3,50.7,88.7,5.6,0.5,28.1,17.1,74.7,5.7,292,24.8,62.7,15861,31375,31.3,414.89,9.7,9.648340524
Effingham ,GA,55423,52250,26.9,10.8,50.1,82.7,14,0.9,3.7,2.1,85.2,16.8,4583,29.8,76.6,24824,63030,11.2,477.7,109.4,116.020515
Elbert ,GA,19438,20166,22,19.1,52.1,68.2,29.4,0.9,5.5,3,78.3,11.3,1546,21.6,68.4,18835,35817,20.4,351.06,57.4,55.36945252
Emanuel ,GA,22755,22598,25.1,15.8,51.1,63.6,34.2,0.7,4.6,1.3,76.5,11.6,1357,25.3,65.6,17064,32046,29.4,680.6,33.2,33.43373494
Evans ,GA,10898,11000,26.7,15.1,51.7,65.5,31.2,1.2,12,6.2,76.2,14.1,725,19.2,63.7,18998,36788,27.9,182.85,60.2,59.60076565
Fannin ,GA,23753,23682,17.7,25.6,51.1,96.9,0.8,0.5,2,1.1,79,14.4,2322,25.4,78.2,19164,34239,23,386.72,61.2,61.42170046
Fayette ,GA,109664,106567,23.9,16.2,51.6,70.9,22,4.5,7.1,9.2,94.3,42.6,11491,30.4,82.9,35344,79977,7.7,194.34,548.3,564.2893897
Floyd ,GA,96063,96317,23.5,15.7,51.5,80.9,14.8,1.4,10.3,6.5,77.9,18.1,7358,21.5,64.2,20500,40821,21,509.91,188.9,188.3920692
Forsyth ,GA,204302,175511,28.9,11.1,50.3,85.2,3.5,9.1,9.7,13.8,91.4,43.8,10111,29.9,85.6,34582,86569,7.6,224.02,783.5,911.9810731
Franklin ,GA,22264,22084,21.9,18.7,51.2,87.3,9.6,0.9,4.3,2.7,72.3,13,1375,24.6,73.1,18234,34830,18.9,261.5,84.5,85.13957935
Fulton ,GA,996319,920581,23.2,10.4,51.4,46.7,44.3,6.7,7.6,12.9,90.4,48.2,47038,27,53.9,36757,56857,17.6,526.64,1748,1891.840726
Gilmer ,GA,28829,28292,20.5,22,50.1,96.3,0.9,0.4,10.9,6.1,76.5,16.4,2397,27.9,73.4,21317,39140,21.7,426.54,66.3,67.58803395
Glascock ,GA,3053,3082,24,17.4,51.1,87.9,9.9,0.4,1.5,1,78.3,9.6,181,28.3,70.8,17984,37760,21.4,143.74,21.4,21.23973842
Glynn ,GA,82175,79626,23.1,17.7,52.7,69.5,26.5,1.5,6.5,5.7,86.6,26.1,7954,19.1,61.9,26724,46407,19.2,419.75,189.7,195.7712924
Gordon ,GA,56047,55186,25.6,13.3,50.4,92,4.4,1.1,15.2,9.3,73.4,14.2,3094,23,66.8,19177,40926,21,355.81,155.1,157.5194626
Grady ,GA,25359,25011,25.7,16,51.3,67.4,29.1,0.6,10.9,5.6,72.7,11.3,1743,25.1,58.5,15734,30571,30.1,454.53,55,55.79169692
Greene ,GA,16490,15994,19.1,26.2,51.2,61,36.6,0.5,6.3,3.9,78.7,21.4,1457,24.6,75.6,27828,42565,22.3,387.44,41.3,42.56142887
Gwinnett ,GA,877922,805321,27.8,8.6,51,58.1,27,11.5,20.5,24.9,87,33.9,39586,31.6,68.4,25932,60445,13.9,430.38,1871.2,2039.876388
Habersham ,GA,43752,43041,23.2,17.4,52.6,90.7,4,2.5,13.6,8.6,77.9,17.1,3319,23.6,76.3,18910,39306,20.8,276.74,155.5,158.0978536
Hall ,GA,190761,179684,26.5,13.6,50.1,87.3,8.1,2,27.5,15.4,78.8,22.8,10555,25.8,67.8,23645,50853,18.7,392.78,457.5,485.6688222
Hancock ,GA,8509,9429,16.3,20,46,25.4,72.6,0.7,1.7,1.9,75.8,9.9,564,25.5,77.7,12381,25000,30.6,471.84,20,18.03365548
Haralson ,GA,28641,28780,24.4,16,51.6,92.3,5.1,0.7,1.4,1.4,74.2,14.1,1916,30,70.3,19789,39993,22.8,282.17,102,101.5026403
Harris ,GA,32876,32024,22,16.7,50.2,79.9,17.1,0.9,3.3,2.6,89.2,27.3,3578,26.6,86.7,31482,69223,8,463.87,69,70.87330502
Hart ,GA,25377,25213,21.4,20.6,50.4,78.4,18.8,1,3.6,2.1,80.3,15.5,2148,22.9,73.7,20371,35615,25.4,232.39,108.5,109.2000516
Heard ,GA,11603,11834,23.6,15.7,50.1,86.4,10.7,0.6,2.5,0.2,72.7,8.2,863,38.6,76,18964,39909,24.3,296.03,40,39.19535182
Henry ,GA,213869,203922,27.1,10.4,52.2,53.4,40.6,3.4,6.4,7.4,89.5,26.1,17462,33.3,75,25299,60781,11.2,322.13,633,663.9213982
Houston ,GA,149111,139900,25.7,11.7,51.3,63.6,30.3,2.8,6.6,5.8,88.8,24,18505,20.5,67.1,25195,54893,15.2,375.54,372.5,397.0575704
Irwin ,GA,9104,9538,22.3,18.2,49.2,71.3,26.7,0.8,3.6,0.7,81.1,10.3,923,22.5,72.4,18207,40771,21.2,354.34,26.9,25.69283739
Jackson ,GA,61870,60485,25.7,13.5,50.4,88.8,7.2,1.9,6.7,4.4,81.1,19.5,3962,29.7,77.1,23247,53179,15.9,339.66,178.1,182.152741
Jasper ,GA,13432,13900,24,15.5,51.3,76,21.5,0.3,4.2,3.1,83.6,13.3,872,36.2,76.1,21297,42192,21.7,368.17,37.8,36.48314637
Jeff Davis ,GA,14859,15068,27.5,14.2,50.5,82,15.6,0.6,11.3,4.7,79.6,9.6,773,22,71.3,17684,36296,24.5,330.74,45.6,44.92652839
Jefferson ,GA,16272,16930,24.1,17,51.4,44.5,53.6,0.7,3.3,1.2,73.8,8.8,1109,23.1,65.5,14757,26968,31.5,526.49,32.2,30.90656993
Jenkins ,GA,9125,8340,22.6,15.3,46.8,54.6,43.2,0.5,5.1,2.6,72.6,13.1,605,26.4,69.6,17565,26104,29.4,347.28,24,26.27562774
Johnson ,GA,9701,9980,19.6,15.5,43.5,63.5,35,0.3,2.2,1.7,75.8,11.5,729,28.9,78.9,16807,36722,22.8,303.01,32.9,32.01544503
Jones ,GA,28787,28669,24.5,15.4,51.6,73,24.9,0.8,1.5,2,88.7,17.8,1774,26.5,79.1,24485,51497,16.6,393.93,72.8,73.0764349
Lamar ,GA,18207,18317,20.7,16,52.3,65.7,31.7,0.5,2.2,1.7,81.9,14.2,1568,30.1,70.1,18800,41016,18.9,183.5,99.8,99.22070845
Lanier ,GA,10373,10078,25.6,12.1,49.6,72.1,22.7,1.4,5.5,2.5,76.4,12,784,23,60.9,17264,39452,26.7,185.26,54.4,55.9915794
Laurens ,GA,47851,48434,24.8,16.2,52.4,61.3,36.2,1.1,2.5,2.2,79.8,15,3407,23.5,65.7,18625,34793,24.7,807.3,60,59.27288493
Lee ,GA,29191,28298,26.8,10.7,49.8,75.1,20.7,2.4,2.6,3.5,83.9,20.5,2267,21.2,76.2,26357,60104,11.2,355.78,79.5,82.04789477
Liberty ,GA,65198,63453,28.7,7.5,48.8,51.1,40.8,2.4,12.1,6.5,90.9,20.2,10207,20.1,51.1,20791,43832,18.7,489.8,129.5,133.1114741
Lincoln ,GA,7622,7996,19.1,20.7,50.7,66.6,31.6,0.5,1.3,1.1,82.1,11.4,732,32.6,78.7,20641,35625,26.5,210.38,38,36.22967963
Long ,GA,17113,14464,28.8,7.7,49.7,68.3,25.6,1.2,11.8,4.9,85,14,1658,25.1,62.2,17158,42651,19.2,400.29,36.1,42.75150516
Lowndes ,GA,113523,109233,24.8,11,51.1,59,36.6,1.7,5.5,3.8,84,23.1,9100,18,53.9,18897,37365,24.3,496.07,220.2,228.8447195
Lumpkin ,GA,31176,29966,18.9,15.7,50.2,94.7,1.9,0.7,4.9,3.3,85,25.4,2423,30,68.2,20908,43775,18.1,282.93,105.9,110.1897996
McDuffie ,GA,21370,21875,25.2,15.9,53.1,56.8,40.7,0.5,2.8,1.2,74.6,13.7,1112,26.4,66,17922,37487,22.2,257.46,85,83.00318496
McIntosh ,GA,14214,14333,19,21.7,50.8,62.8,34.9,0.4,2,1.7,80.5,15.8,1468,26.3,81.5,21484,39068,14.9,424.3,33.8,33.49988216
Macon ,GA,13792,14740,19.9,14.9,45.9,37.2,59.8,1.6,4.1,3.6,70.5,10.1,895,24.5,66.5,13865,30240,29.4,400.64,36.8,34.42492013
Madison ,GA,28312,28120,23.1,15.6,50.7,87.7,9.4,1.2,4.7,3.1,78.7,14.9,1787,25.3,73.3,19939,42549,17.9,282.31,99.6,100.2869186
Marion ,GA,8797,8742,21.8,17,50.1,64,30.8,1,7.6,5.8,75.1,10.6,970,30.9,71.8,17479,33301,20.5,366,23.9,24.03551913
Meriwether ,GA,21198,21992,22.4,18.6,52,58.2,39.4,0.7,2.2,0.7,73,8.9,1383,30.2,69.9,18821,37333,21.1,501.22,43.9,42.29280555
Miller ,GA,5958,6125,23.4,19.6,51.6,69.4,28.1,0.7,2,0.7,79.9,11.9,354,22.3,74.5,19674,32260,23,282.42,21.7,21.09623964
Mitchell ,GA,22771,23498,23.7,14.9,47.7,49.8,48,0.7,4.3,2.3,72.3,9.6,1508,21.2,65.3,15694,32054,26.2,512.09,45.9,44.46679295
Monroe ,GA,27051,26424,20.9,16.8,49.6,73.9,23.7,1,2.3,1.7,79.5,18.7,2069,27.2,76.3,22888,48630,12.9,395.66,66.8,68.36930698
Montgomery ,GA,8991,9123,22.2,15.5,48.3,71.4,26.8,0.4,6,3.8,82.3,15.5,562,21.4,69.4,16460,32702,24.5,239.52,38.1,37.53757515
Morgan ,GA,17956,17868,23,18.2,51.5,74,23.2,0.8,3,1.8,81.7,22.7,1357,27.2,77.1,25933,47729,15.4,347.35,51.4,51.69425651
Murray ,GA,39410,39628,25.3,13.3,50.3,95.8,1.4,0.5,14,8.1,69.3,9.6,2122,24.8,68.9,16449,34888,22.4,344.47,115,114.4076407
Muscogee ,GA,200887,189885,24.3,12,50.8,47.9,46.1,2.5,7.5,5.4,85.4,22.6,20679,19,52.6,22856,41339,19.6,216.39,877.5,928.3562087
Newton ,GA,103675,99958,27.1,11.9,52.3,53.6,43,1.1,4.9,5.7,84.5,19.4,7341,31.4,73.5,21484,50580,15.2,272.16,367.3,380.9340094
Oconee ,GA,35093,32808,26.8,13.5,51.1,89,5.4,3.9,4.6,5,91.3,43.1,2131,23.7,78.9,33801,75004,9.3,184.29,178,190.4227033
Oglethorpe ,GA,14673,14899,21.6,18,50.7,79.5,17.7,0.7,3.9,1.6,79,18,1117,27.9,77,20493,45729,16.4,439.01,33.9,33.42292886
Paulding ,GA,148987,142324,27.8,9.5,51.2,78.4,18,1.1,5.7,4.1,88.5,23.4,10479,37.7,82.1,24168,61837,11.4,312.22,455.8,477.1859586
Peach ,GA,26922,27695,22.3,13.3,51.7,51.5,45.1,1,7.3,5.9,82.7,19.2,2354,22.7,66.6,19431,39844,24.6,150.27,184.3,179.1575165
Pickens ,GA,29997,29431,20.9,20.3,50.7,95.8,1.7,0.8,3.1,2.8,80.8,22.5,2768,28.5,78.9,26686,51383,11.9,232.06,126.8,129.2639835
Pierce ,GA,18991,18758,25.4,15.6,50.4,87.8,9.3,0.6,5.1,2.3,77.6,11.8,1398,26.6,73.3,20001,39067,20.5,316.49,59.3,60.00505545
Pike ,GA,17784,17869,24.9,14.6,50.5,87.3,10.5,0.5,1.6,1.1,85.1,17,1400,33.2,84.2,22191,53865,11.2,216.09,82.7,82.29904207
Polk ,GA,41133,41475,26,14.9,50.9,83.6,13,0.8,13,8.1,72.7,13.1,2804,26.6,70.8,18336,39208,23.4,310.33,133.6,132.5459994
Pulaski ,GA,11483,12010,19.7,18.9,56.8,65.6,31.7,1.1,3.5,2.2,77.5,9.6,932,24,68,17781,41550,15.7,249.03,48.2,46.11091033
Putnam ,GA,21192,21218,21.3,21.5,51.5,70.4,27.3,0.6,6.6,4.7,84.5,18.7,2025,28.2,77.1,26321,44764,14,344.64,61.6,61.4902507
Quitman ,GA,2315,2513,17.6,27.7,50.6,51.3,47.5,0.2,1.4,0.3,72.3,3.2,223,22,77.3,14201,31068,26.4,151.24,16.6,15.30679714
Rabun ,GA,16243,16276,18.3,25.5,50.6,95.2,1.6,0.9,8.4,6.8,85.2,26.6,1503,21.9,73.2,22260,35423,21.5,369.99,44,43.90118652
Randolph ,GA,7313,7719,20.6,20.9,53.4,37.7,60.9,0.5,2.1,3,72.3,17.4,576,19.4,71.2,18094,30023,25.4,428.24,18,17.07687278
Richmond ,GA,201368,200549,23.7,12.6,51.6,39.5,55.5,1.8,4.6,3.3,83.7,20.5,20693,20,54.5,20526,37749,25.1,324.33,618.4,620.8738014
Rockdale ,GA,87754,85215,25.6,12.8,52.7,44.4,51,1.9,10,10.5,86.2,26,6602,32.3,69,23461,52579,14.7,129.79,656.5,676.1229679
Schley ,GA,5163,5010,27.7,14.7,52.6,76.9,21.5,0.8,4.4,2.2,73,14.2,267,27.6,64.4,19037,38425,22.3,166.91,30,30.93283806
Screven ,GA,14085,14593,22.7,16.8,51.2,56.2,41.7,0.5,1.7,0.4,78.9,13,946,28.7,70.8,18640,34848,27,645.1,22.6,21.83382421
Seminole ,GA,8686,8729,21.8,21.8,52,64.6,33,0.8,2.9,1.4,81.2,12.2,644,22.6,77,17641,30521,26,235.23,37.1,36.92556222
Spalding ,GA,63988,64073,24.5,16.1,51.7,63.7,33.2,0.9,4.5,2.7,76.6,14.8,5072,27.8,63.1,19783,41534,21.5,196.47,326.1,325.6884003
Stephens ,GA,25480,26175,22.4,18.3,51.8,85.1,11.3,0.9,3,2,80.4,14.2,1844,22.1,74.7,18557,37898,19.8,179.13,146.1,142.2430637
Stewart ,GA,5744,6058,15.4,15.3,38.9,45.1,51.5,1,24.5,13.6,63.1,10,330,29.4,63.3,13238,23451,30.7,458.73,13.2,12.52152682
Sumter ,GA,31232,32819,24,14.8,52.6,44,52.8,1.4,5.3,3.4,76.2,18.5,1955,19.9,58.2,17879,33796,32.3,482.7,68,64.7027139
Talbot ,GA,6390,6865,18.8,19.1,52.3,41.3,56.6,0.2,2.1,0.8,76.7,12.3,541,31.5,75.9,16993,32424,21.8,391.39,17.5,16.32642633
Taliaferro ,GA,1693,1717,18.5,22.4,51.1,40.5,56.9,0.8,4,1.6,68.3,9.3,104,27.9,73.2,14381,25465,30,194.61,8.8,8.699450182
Tattnall ,GA,25224,25520,21.2,12.5,42.3,68.1,29.5,0.5,10.5,5.4,75.1,11.6,1968,24.2,71.3,15280,37587,27.4,479.4,53.2,52.61576971
Taylor ,GA,8442,8906,21,18.2,52.5,60.1,38.2,0.8,2.3,1.4,76.4,10.1,668,28.2,69.3,17078,27455,28.2,376.69,23.6,22.41100109
Telfair ,GA,16518,16500,17.7,15.3,40.7,61.3,36.6,0.8,14.7,10.8,73.9,10.9,1021,20.5,64.8,12489,26634,30.5,437.3,37.7,37.77269609
Terrell ,GA,9132,9315,23.6,17.7,52.5,37.2,60.3,0.4,2.6,1.2,65.6,8.7,668,22.1,63.4,16836,32628,31.6,335.44,27.8,27.22394467
Thomas ,GA,44959,44720,24.1,16.8,52.6,60.5,36.8,0.9,3.4,2.5,81.8,18.1,3525,20.1,56.5,19983,34035,26.5,544.6,82.1,82.5541682
Tift ,GA,40704,40118,25.1,14,51.9,66.6,30.1,1.5,11.3,5.7,77.5,16,1993,18.9,61.1,18933,34591,27.9,258.92,154.9,157.2068593
Toombs ,GA,27282,27223,27.3,15.2,52.6,70.8,26,0.9,11.2,5,79.2,15.2,1863,20.4,62.4,18716,31189,26.9,364.01,74.8,74.94849043
Towns ,GA,11098,10471,13.8,32.2,52.2,96.9,1.2,0.7,2.6,3.1,86.8,22.7,1303,20.7,84.8,20419,36570,16.3,166.56,62.9,66.63064361
Treutlen ,GA,6778,6885,24.5,15,49.7,66.1,32.3,0.3,2.9,0.5,74.4,12.3,342,26,68,19410,37894,25.8,199.44,34.5,33.98515844
Troup ,GA,69469,67044,25.3,13.7,51.8,60.7,35.4,1.8,3.7,4.2,81.8,18.6,4638,20.9,60.9,21443,41161,23.6,413.99,161.9,167.8035701
Turner ,GA,8153,8930,26.3,18.6,50.9,58.3,39.4,0.8,4.5,3.4,72.1,9.8,491,24.8,64.7,17609,28326,22,285.39,31.3,28.56792459
Twiggs ,GA,8320,9023,19.1,19.6,51.1,57,40.9,0.3,1.9,0.5,70.3,10.8,559,28,80,17952,31234,28.7,358.4,25.2,23.21428571
Union ,GA,21984,21356,16.8,31.3,51.6,96.7,0.9,0.6,3.1,2,84.7,19.6,2544,25.4,78.3,22156,40009,17.7,321.93,66.3,68.28813717
Upson ,GA,26256,27153,22.4,17.8,52.3,69.5,28,0.7,2.5,1.8,77.6,11.4,1945,22,67,17978,35329,20.5,323.44,84,81.17734356
Walker ,GA,68218,68756,22.7,16.6,50.7,93,4.5,0.5,2,1.1,79.1,14,5925,25.9,72.6,20865,39963,16.7,446.38,154,152.8249474
Walton ,GA,87615,83768,25.9,14.2,51.3,79.6,17,1.4,3.9,4.4,83.1,18.4,5764,31.3,75.1,22824,52369,13.8,325.68,257.2,269.0217391
Ware ,GA,35515,36312,23.8,16.2,50.5,67.3,29.3,1.1,3.7,3.4,80.4,13.9,2528,18.9,65.3,18842,34572,24.3,892.46,40.7,39.79450059
Warren ,GA,5520,5834,21.5,20.3,53.1,38.2,59.9,0.4,1.1,0.9,73.2,7.3,333,26.7,65.9,17884,27796,31.6,284.3,20.5,19.41610974
Washington ,GA,20635,21187,22.3,16,49.6,45.5,52.7,0.6,2.2,1,76.2,11.1,1210,22.9,72.5,17515,33652,25,678.45,31.2,30.41491635
Wayne ,GA,29949,30099,24.4,14.7,48.1,76.2,20.7,0.6,6.3,2.9,81.3,11.4,2611,23.4,69.1,17270,35830,22.7,641.78,46.9,46.66552401
Webster ,GA,2649,2799,21.3,19.7,50,55.6,42.5,0.3,3.7,0.2,77.5,11.2,110,24.9,79.7,19082,35718,22.5,209.12,13.4,12.66736802
Wheeler ,GA,7995,7421,16.9,12.8,34.8,60.2,38.4,0.3,5.4,1,74.8,8.5,445,21,66.6,8948,24382,31.3,295.48,25.1,27.05766888
White ,GA,27970,27144,21.3,20.6,51,94.9,2.4,0.6,2.9,2,85.2,19.3,2222,30.3,74.3,22059,40670,20.1,240.69,112.8,116.2075699
Whitfield ,GA,103542,102599,27,12.7,50.3,90.8,4.4,1.6,33.3,17.8,69.1,14,5376,20.1,65.7,19497,40471,20.5,290.46,353.2,356.4759347
Wilcox ,GA,8847,9255,18.8,16,41.1,62.2,35.7,0.7,4.1,1.7,75.9,8.6,609,26.7,75.6,13228,32928,27.8,377.71,24.5,23.42273173
Wilkes ,GA,9940,10593,21.7,21.4,52.2,54.9,42.6,0.8,3.9,1.5,76.2,14.5,630,25.5,72.1,17120,28983,27.3,469.49,22.6,21.17190994
Wilkinson ,GA,9326,9563,22.7,17.9,51.9,59,38.6,0.5,2.7,1.5,79.7,8.2,613,23.1,78.2,17228,36173,21.3,447.31,21.4,20.84907559
Worth ,GA,20940,21679,22.7,16.9,52,69.2,28.9,0.5,2.1,1.7,71.4,8.1,1811,26.8,74.1,18551,35792,20.2,570.7,38,36.69178202
Hawaii ,HI,194190,185079,22,17.5,50,34.3,0.9,22,12.3,10.9,91,25.6,15729,25.4,65.7,24635,51250,18.3,4028.42,45.9,48.20500345
Honolulu ,HI,991788,953207,21.5,15.8,49.2,23.1,3.1,42.4,9.5,19.6,90.3,32.1,82157,27.2,55.5,30361,72764,9.8,600.74,1586.7,1650.943836
Kalawao ,HI,89,90,0,29.2,52.8,28.1,0,7.9,1.1,19.7,87.7,41.5,3,10,0,45515,59375,14.7,11.99,7.5,7.422852377
Kauai ,HI,70475,67091,22.3,17.4,49.9,33.7,0.7,31.3,10.8,15.1,90.1,25.1,4680,21.4,62.6,26658,62052,11.2,619.96,108.2,113.6766888
Maui ,HI,163019,154834,22.3,15.1,49.7,35.9,0.9,28.7,11,17.2,90.2,25.7,10056,20.8,58.1,29517,63512,10.6,1161.52,133.3,140.3497142
Adair ,IA,7454,7682,22.1,22.1,50.9,98.2,0.4,0.5,1.7,1.1,90.7,16.3,790,22.7,77.1,25564,47892,9.5,569.27,13.5,13.09396244
Adams ,IA,3875,4029,21.4,22,49.9,97.8,0.4,0.6,1.1,0.6,90.4,13.7,353,21.2,78.5,23707,45871,11.3,423.44,9.5,9.151237483
Allamakee ,IA,14038,14330,22.5,21.3,48.8,96.4,1.4,0.5,5.7,4.3,89,14.9,1282,23.6,79.5,24926,48831,12.6,639.08,22.4,21.96595105
Appanoose ,IA,12661,12887,22.4,21.4,50.6,97.4,0.7,0.4,1.5,1,88.3,18.3,1045,19,72.5,21599,39208,15.2,497.29,25.9,25.45999316
Audubon ,IA,5794,6119,20.2,24.3,51.6,98.2,0.4,0.5,1.1,0.6,90.3,16.6,557,18.2,80.4,30919,48313,9.5,442.96,13.8,13.08018783
Benton ,IA,25680,26076,23.8,16.9,50.3,97.9,0.6,0.3,1.3,1.1,91.9,18.8,2160,23.7,80.4,26624,56669,8.4,716.27,36.4,35.85240203
Black Hawk ,IA,132897,131090,21.5,14.8,51.1,86.2,9,2,4.2,4.8,89.5,25.3,9095,15.8,67.8,24273,45747,17,565.77,231.7,234.8958057
Boone ,IA,26433,26306,22.7,17,49.7,96.8,1.2,0.5,2.4,0.9,92,20.3,2277,21.1,75.6,27149,51826,10.1,571.57,46,46.24630404
Bremer ,IA,24721,24276,21.8,18.4,50.8,97,1,0.9,1.4,0.6,93.8,28.3,1914,19.2,81.3,28727,61216,7.3,435.48,55.7,56.76724534
Buchanan ,IA,21038,20958,26.6,16.2,50.2,97.8,0.5,0.4,1.4,1,90.6,17.1,1511,20.9,78.1,27038,55553,9.9,571.02,36.7,36.84284263
Buena Vista ,IA,20578,20260,25.3,14.6,49.4,85.9,2.9,8.4,24.8,18.6,78.7,20,1207,13.7,68,22899,46951,12.8,574.92,35.2,35.79280596
Butler ,IA,15006,14867,23.6,21,50.5,98.1,0.3,0.4,1.1,0.6,90.9,15,1007,22.9,79.6,25269,52026,9.8,580.13,25.6,25.8666161
Calhoun ,IA,9866,9670,20.6,22.3,48.6,96.4,1.9,0.3,2,0.7,90.5,19.1,928,19.6,79,25766,44484,13.4,569.97,17,17.30968297
Carroll ,IA,20562,20816,24.1,19.2,51.4,97.5,0.8,0.5,2.3,0.8,91.3,18.8,1447,14.1,75.4,25430,48361,9.6,569.44,36.6,36.10915988
Cass ,IA,13448,13956,22.6,21.5,50.7,97.6,0.5,0.3,2.4,1,92.8,19,1155,17.3,71.8,25448,43481,11.4,564.27,24.7,23.83256243
Cedar ,IA,18411,18499,22.9,18.4,50.5,97.4,0.5,0.7,1.8,1.3,92.1,19.5,1620,25.2,78.8,26567,58088,8,579.44,31.9,31.77378158
Cerro Gordo ,IA,43254,44151,20.5,19.7,51,95.7,1.4,1.1,4.3,2.1,92,21,3999,15.7,71.6,27291,44795,13.2,568.31,77.7,76.10986961
Cherokee ,IA,11836,12072,21,22.4,50.4,97,0.9,0.6,3.2,0.9,91.6,19.6,1163,15.3,74.9,26330,48977,9.7,576.91,20.9,20.51619837
Chickasaw ,IA,12264,12439,23.8,19.4,50,98.3,0.6,0.3,2.3,1.8,88.8,13.8,1116,21.3,80.1,24139,43971,10.3,504.38,24.7,24.31500059
