county_state,sk09,sk05
"Santa Clara, CA",-1.466554007,-1.113984238
"Santa Cruz, CA",-0.394611938,-0.22590203
"Shasta, CA",-0.757893627,-0.580669136
"Sierra, CA",1.444921216,0.326044167
"Siskiyou, CA",0.474429475,-0.004657774
"Solano, CA",-1.431493967,-1.25061227
"Sonoma, CA",-0.409531104,-0.183982066
"Stanislaus, CA",-1.930540066,-1.717165948
"Sutter, CA",-1.640362289,-1.339886268
"Tehama, CA",-1.194279229,-1.126404968
"Trinity, CA",-0.487110766,-0.586879501
"Tulare, CA",-2.451964914,-2.216324042
"Tuolumne, CA",-0.146953784,-0.612497257
"Ventura, CA",-1.167424731,-0.887305912
"Yolo, CA",-1.264399309,-0.767756384
"Yuba, CA",-2.052131268,-2.107642653
"Adams, CO",-1.670200621,-1.463317275
"Alamosa, CO",0.123083119,0.454132947
"Arapahoe, CO",-0.6385403,-0.387371523
"Archuleta, CO",1.100288484,0.269374586
"Baca, CO",1.310648723,1.489711326
"Bent, CO",-1.381514761,-0.589984684
"Boulder, CO",0.466223934,0.815886714
"Chaffee, CO",1.891750235,1.31116333
"Cheyenne, CO",3.032320467,2.199245538
"Clear Creek, CO",0.856360122,0.052011808
"Conejos, CO",-0.545295513,-0.635009831
"Costilla, CO",0.08727712,-1.003750258
"Crowley, CO",-1.925318358,-1.967133142
"Custer, CO",3.685779933,1.540170542
"Delta, CO",0.414752812,0.48751366
"Denver, CO",0.027600457,0.239099056
"Dolores, CO",1.041357779,0.362530062
"Douglas, CO",-0.405055354,0.055893286
"Eagle, CO",-0.475175434,-1.082932413
"Elbert, CO",-0.13128866,-0.128865076
"El Paso, CO",-0.556484888,-0.353214515
"Fremont, CO",-0.608701968,-0.708757916
"Garfield, CO",-0.349108482,-0.004657774
"Gilpin, CO",0.120845244,-0.362530062
"Grand, CO",1.661249122,0.430844078
"Gunnison, CO",2.136424555,1.26846707
"Hinsdale, CO",7.068700798,6.785600157
"Huerfano, CO",0.547533388,-0.373398201
"Jackson, CO",4.374299438,0.986671754
"Jefferson, CO",-0.112639702,0.102471024
"Kiowa, CO",4.398916062,3.252678716
"Kit Carson, CO",0.946621076,1.481172074
"Lake, CO",0.167094658,-0.288781977
"La Plata, CO",0.498300141,0.412989279
"Larimer, CO",0.487856725,0.820544488
"Las Animas, CO",0.24915007,-0.308189368
"Lincoln, CO",0.736260837,0.256953856
"Logan, CO",0.10518012,0.296544933
"Mesa, CO",-0.475175434,-0.094708068
"Mineral, CO",6.817312853,1.515329082
"Moffat, CO",-0.082801371,0.020183687
"Montezuma, CO",0.252133904,-0.023288869
"Montrose, CO",-0.129050785,-0.093155476
"Morgan, CO",-0.478905225,-0.410660392
"Otero, CO",0.856360122,1.164443455
"Ouray, CO",3.406045572,2.865307194
"Park, CO",0.294653526,-0.917581442
"Phillips, CO",2.979357428,3.947463311
"Pitkin, CO",2.922664598,2.785348743
"Prowers, CO",0.02610854,-0.161469492
"Pueblo, CO",-0.6295888,-0.258506447
"Rio Blanco, CO",0.312556525,0.985895458
"Rio Grande, CO",1.825359946,0.998316188
"Routt, CO",0.802651125,0.242204239
"Saguache, CO",0.367757439,-0.26859829
"San Juan, CO",6.549513825,3.927279624
"San Miguel, CO",1.842516987,0.742914924
"Sedgwick, CO",2.424364457,1.651180818
"Summit, CO",0.663902882,-0.609392075
"Teller, CO",1.077909735,0.940094016
"Washington, CO",1.753001992,1.302624078
"Weld, CO",-1.036136071,-0.95173845
"Yuma, CO",1.069704194,1.407423989
"Fairfield, CT",-0.280480319,-0.08539252
"Hartford, CT",-0.344632732,-0.09781325
"Litchfield, CT",0.123083119,0.282571612
"Middlesex, CT",0.064152413,0.326820463
"New Haven, CT",-0.663902882,-0.529433624
"New London, CT",-0.436385602,-0.338464897
"Tolland, CT",-0.691503339,-0.247638308
"Windham, CT",-0.871279288,-0.532538807
"Kent, DE",-0.80041325,-0.906713303
"New Castle, DE",0.09622862,0.144390988
"Sussex, DE",-0.336427191,-0.964935476
District of Columbia,3.904345713,3.644708013
"Alachua, FL",-0.182013824,-0.265493108
"Baker, FL",-1.183089855,-1.263809296
"Bay, FL",-0.519186973,-0.782506001
"Bradford, FL",-1.23754481,-1.5122239
"Brevard, FL",-0.552009138,-0.322938985
"Broward, FL",-1.357644096,-1.445462475
"Calhoun, FL",-0.628842842,-1.048775405
"Charlotte, FL",-0.607210052,-0.813557827
"Citrus, FL",-0.645253925,-0.399015957
"Clay, FL",-0.725071462,-0.392029296
"Collier, FL",-0.998838156,-1.484277257
"Columbia, FL",-1.197263063,-1.339886268
"Dade, FL",-1.88503661,-1.022381353
"De Soto, FL",-1.937253691,-2.574972626
"Dixie, FL",-0.626604967,-1.826623632
"Duval, FL",-0.278988402,-0.275584951
"Escambia, FL",-0.229755155,-0.272479768
"Flagler, FL",-0.891420162,-0.425410009
"Franklin, FL",0.516949098,0.462672199
"Gadsden, FL",-0.45503456,-0.834517809
"Gilchrist, FL",-1.203230729,-1.351530703
"Glades, FL",-2.43629979,-2.567209669
"Gulf, FL",-0.499792057,-0.310518255
"Hamilton, FL",-1.391212219,-1.828176224
"Hardee, FL",-1.649313789,-2.100655992
"Hendry, FL",-1.952918815,-2.636299981
"Hernando, FL",-0.985410907,-0.461895904
"Highlands, FL",-0.619145384,-0.755335654
"Hillsborough, FL",-1.022708822,-1.029368014
"Holmes, FL",-0.722833587,-0.925344399
"Indian River, FL",-0.24915007,-0.451027765
"Jackson, FL",-0.561706596,-0.840728174
"Jefferson, FL",0.244674321,-0.31129455
"Lafayette, FL",-0.478905225,-1.363951433
"Lake, FL",-0.945129159,-0.943199198
"Lee, FL",-1.153997481,-1.124076081
"Leon, FL",0.681059923,0.79880821
"Levy, FL",-0.683297798,-0.957948815
"Liberty, FL",-1.135348524,-2.217876633
"Madison, FL",0.011935333,-0.945528085
"Manatee, FL",-0.833235415,-0.922239216
"Marion, FL",-0.961540241,-0.96415918
"Martin, FL",-0.032822165,-0.191745022
"Monroe, FL",0.330459524,-0.168456153
"Nassau, FL",0.119353327,-0.083063633
"Okaloosa, FL",-0.064898372,-0.321386393
"Okeechobee, FL",-1.693325328,-2.113076722
"Orange, FL",-0.954080659,-1.125628673
"Osceola, FL",-1.782094365,-1.876306553
"Palm Beach, FL",-0.924988285,-0.978132502
"Pasco, FL",-1.359136012,-1.137273107
"Pinellas, FL",-0.748196169,-0.740586037
"Polk, FL",-1.114461692,-1.349978112
"Putnam, FL",-0.681805881,-0.93931772
"St. Johns, FL",-0.194695115,-0.047354034
"St. Lucie, FL",-1.31661639,-1.381806233
"Santa Rosa, FL",-0.728055295,-0.677706091
"Sarasota, FL",-0.237214738,-0.037262191
"Seminole, FL",-0.799667292,-0.571353588
"Sumter, FL",-0.364773606,-1.136496812
"Suwannee, FL",-0.834727331,-0.992882119
"Taylor, FL",-0.593782802,-1.136496812
"Union, FL",-1.923080483,-2.386332786
"Volusia, FL",-0.827267749,-0.67071943
"Wakulla, FL",-0.954080659,-1.291755939
"Walton, FL",-0.428926019,-0.680034977
"Washington, FL",-0.719849754,-0.467329973
"Appling, GA",-0.749688086,-1.229652288
"Atkinson, GA",-1.717941952,-2.658812554
"Bacon, GA",-1.245004393,-1.637983793
"Baker, GA",-0.722087629,-2.241941798
"Baldwin, GA",-1.651551664,-1.902700605
"Banks, GA",-1.465808049,-1.64031268
"Barrow, GA",-1.812678655,-1.802558468
"Bartow, GA",-1.549355377,-1.722600017
"Ben Hill, GA",-1.509819588,-1.595287533
"Berrien, GA",-1.53965792,-2.098327105
"Bibb, GA",-0.123083119,-0.302755298
"Bleckley, GA",-0.672854382,-0.291887159
"Brantley, GA",-1.411353093,-2.325781726
"Brooks, GA",-0.976459407,-2.015263472
"Bryan, GA",-1.091336985,-1.274677435
"Bulloch, GA",-1.606048208,-2.078919714
"Burke, GA",-1.009281572,-1.56190682
"Butts, GA",-1.30766489,-1.395779554
"Calhoun, GA",-1.077163777,-1.645746749
"Camden, GA",-1.142062149,-1.513776491
"Candler, GA",-1.409115218,-1.822742154
"Carroll, GA",-1.117445525,-1.307281852
"Catoosa, GA",-1.349438555,-1.380253641
"Charlton, GA",-1.908161317,-2.224863294
"Chatham, GA",-0.493078433,-0.719626055
"Chattahoochee, GA",-3.925232545,-3.85508413
"Chattooga, GA",-1.610523958,-2.163535938
"Cherokee, GA",-0.99734624,-1.001421371
"Clarke, GA",-0.9533347,-1.155904203
"Clay, GA",-0.865311622,-1.818860676
"Clayton, GA",-1.652297622,-1.967133142
"Clinch, GA",-0.910815077,-2.01914495
"Cobb, GA",-0.89216612,-0.708757916
"Coffee, GA",-1.714958119,-2.203903312
"Colquitt, GA",-1.711974286,-1.984987942
"Columbia, GA",-0.552755096,-0.300426411
"Cook, GA",-1.344962805,-1.836715476
"Coweta, GA",-0.954826617,-0.925344399
"Crawford, GA",-1.488186797,-1.909687265
"Crisp, GA",-1.318108306,-1.886398396
"Dade, GA",-1.482965089,-1.723376313
"Dawson, GA",-0.525900598,-0.970369545
"Decatur, GA",-0.943637242,-1.453225431
"De Kalb, GA",-0.786986001,-0.730494194
"Dodge, GA",-1.182343897,-1.442357292
"Dooly, GA",-1.691833412,-1.877859144
"Dougherty, GA",-0.311810567,-0.653640926
"Douglas, GA",-1.039119904,-0.961830293
"Early, GA",0.052217081,-0.821320783
"Echols, GA",-2.537750118,-3.288388316
"Effingham, GA",-1.514295338,-1.582866802
"Elbert, GA",-0.881722704,-1.289427052
"Emanuel, GA",-1.589637125,-2.354504665
"Evans, GA",-1.101780401,-1.481172074
"Fannin, GA",0.162618908,-0.288781977
"Fayette, GA",0.285702027,0.452580356
"Floyd, GA",-1.276334642,-1.315044808
"Forsyth, GA",-1.109985942,-0.956396224
"Franklin, GA",-0.770574918,-0.920686625
"Fulton, GA",-0.355076148,-0.49993439
"Gilmer, GA",-1.121175316,-1.615471219
"Glascock, GA",-0.891420162,-0.832188922
"Glynn, GA",-0.302859068,-0.789492662
"Gordon, GA",-1.664978913,-1.664377844
"Grady, GA",-1.383006678,-1.644194158
"Greene, GA",0.059676664,-0.619483918
"Gwinnett, GA",-1.529214504,-1.318149991
"Habersham, GA",-1.441937383,-1.054209474
"Hall, GA",-1.785824157,-1.696205965
"Hancock, GA",-1.306918932,-2.76283617
"Haralson, GA",-1.276334642,-1.288650756
"Harris, GA",-0.315540359,-0.541078059
"Hart, GA",-0.805634958,-1.113984238
"Heard, GA",-1.894734068,-1.997408672
"Henry, GA",-0.830251582,-0.947856972
"Houston, GA",-1.209198395,-1.274677435
"Irwin, GA",-1.265891226,-1.536289064
"Jackson, GA",-1.360627929,-1.530854995
"Jasper, GA",-1.158473231,-1.707074104
"Jeff Davis, GA",-1.025692655,-1.400437328
"Jefferson, GA",-0.573641928,-1.437699519
"Jenkins, GA",-0.998838156,-1.249059679
"Johnson, GA",-1.545625586,-1.735020747
"Jones, GA",-1.171154522,-1.462540979
"Lamar, GA",-0.582593428,-0.563590632
"Lanier, GA",-1.723909618,-1.761414799
"Laurens, GA",-0.764607252,-1.227323401
"Lee, GA",-1.891004276,-1.963251664
"Liberty, GA",-1.993200563,-2.810190204
"Lincoln, GA",0.489348641,-0.800360801
"Long, GA",-2.231161259,-2.996501156
"Lowndes, GA",-1.190549438,-1.454778023
"Lumpkin, GA",-1.37330922,-1.4943691
"McDuffie, GA",-0.778780459,-1.460988388
"McIntosh, GA",-0.116369494,-0.930002172
"Macon, GA",-1.320346181,-1.577432733
"Madison, GA",-1.170408564,-1.081379821
"Marion, GA",-0.810110708,-1.516105378
"Meriwether, GA",-1.020470947,-1.492040213
"Miller, GA",-0.517695056,-0.506144755
"Mitchell, GA",-1.265891226,-1.656614888
"Monroe, GA",-0.614669635,-0.864017043
"Montgomery, GA",-1.198009021,-1.955488708
"Morgan, GA",-0.008205541,-0.244533125
"Murray, GA",-2.665308986,-2.698403632
"Muscogee, GA",-0.683297798,-0.985119163
"Newton, GA",-1.208452437,-1.382582528
"Oconee, GA",0.12233716,0.40212114
"Oglethorpe, GA",-1.009281572,-1.201705645
"Paulding, GA",-1.386736469,-1.392674372
"Peach, GA",-0.86158183,-1.26846707
"Pickens, GA",-1.292745724,-1.749770364
"Pierce, GA",-1.303935099,-1.644194158
"Pike, GA",-0.308826734,-0.452580356
"Polk, GA",-1.497138297,-1.609260854
"Pulaski, GA",-0.89664187,-1.48194837
"Putnam, GA",-0.549025305,-1.231981175
"Quitman, GA",-1.160711106,-2.71470584
"Rabun, GA",0.44608306,-0.698666073
"Randolph, GA",-0.170824449,-0.525552146
"Richmond, GA",-0.851884372,-0.947856972
"Rockdale, GA",-0.587815136,-0.635786126
"Schley, GA",-0.38939023,-1.362398842
"Screven, GA",-0.919020619,-1.419844719
"Seminole, GA",-0.079071579,-1.261480409
"Spalding, GA",-0.851884372,-1.023157649
"Stephens, GA",-0.005221708,-0.401344844
"Stewart, GA",-0.590798969,-0.971922137
"Sumter, GA",-0.749688086,-1.115536829
"Talbot, GA",0.057438789,-1.223441923
"Taliaferro, GA",0.198424906,-0.194073909
"Tattnall, GA",-1.905923442,-2.536157844
"Taylor, GA",-0.912306994,-1.066630204
"Telfair, GA",-1.569496251,-2.477935671
"Terrell, GA",-0.44608306,-1.259927818
"Thomas, GA",-0.353584232,-0.696337186
"Tift, GA",-1.111477859,-1.4943691
"Toombs, GA",-1.222625645,-1.380253641
"Towns, GA",0.088023079,-0.291110864
"Treutlen, GA",-0.873517163,-1.107773873
"Troup, GA",-0.569912137,-0.818991896
"Turner, GA",-0.869787371,-1.443909884
"Twiggs, GA",-0.976459407,-1.52464463
"Union, GA",-0.089514995,-0.594642457
"Upson, GA",-0.869041413,-0.99443471
"Walker, GA",-1.50459788,-1.723376313
"Walton, GA",-1.055530987,-0.954843633
"Ware, GA",-0.922004452,-1.142707177
"Warren, GA",-0.054454955,-0.680811273
"Washington, GA",-0.846662664,-0.846162244
"Wayne, GA",-1.129380858,-1.555696455
"Webster, GA",-0.396849813,-1.182298254
"Wheeler, GA",-2.167008845,-2.851333872
"White, GA",-0.871279288,-1.158233089
"Whitfield, GA",-1.789553948,-1.931423543
"Wilcox, GA",-1.9245724,-2.002842742
"Wilkes, GA",-0.200662781,-0.579116545
"Wilkinson, GA",-0.304350984,-0.636562422
"Worth, GA",-1.387482428,-1.912792448
"Ada, ID",-0.379692772,0.142062101
"Adams, ID",1.578447751,-0.374174497
"Bannock, ID",-0.76535321,-0.057445877
"Bear Lake, ID",-0.777288543,-0.943975494
"Benewah, ID",-0.363281689,-0.139733215
"Bingham, ID",-1.541149836,-1.077498343
"Blaine, ID",1.025692655,0.294216046
"Boise, ID",0.204392573,-0.740586037
"Bonner, ID",-0.069374121,-0.732823081
"Bonneville, ID",-1.053293112,-0.385042636
"Boundary, ID",0.017902999,-0.652088335
"Butte, ID",0.493078433,-0.003881478
"Camas, ID",2.03795806,0.335359715
"Canyon, ID",-1.664978913,-1.492816509
"Caribou, ID",0.011935333,-0.301979003
"Cassia, ID",-1.21143627,-1.0852613
"Clark, ID",-0.654205424,-0.574458771
"Clearwater, ID",0.377454897,0.18320577
"Custer, ID",1.341233013,1.321255173
"Elmore, ID",-1.852214445,-1.98886942
"Franklin, ID",-1.510565546,-1.152022724
"Fremont, ID",-0.286447985,-0.916028851
"Gem, ID",-0.463986059,-0.18320577
"Gooding, ID",-1.118191483,-0.998316188
"Idaho, ID",-0.036551956,0.154482832
"Jefferson, ID",-1.541149836,-0.912923668
"Jerome, ID",-1.559798794,-1.390345485
"Kootenai, ID",-0.666140757,-0.485184773
"Latah, ID",0.256609653,0.557380267
"Lemhi, ID",1.352422388,0.978132502
"Lewis, ID",1.039865862,0.43938333
"Lincoln, ID",-1.23754481,-0.812781531
"Madison, ID",-2.287854089,-1.648851932
"Minidoka, ID",-1.522500879,-1.154351611
"Nez Perce, ID",-0.059676664,0.40212114
"Oneida, ID",-0.360297856,-0.411436687
"Owyhee, ID",-1.668708705,-1.656614888
"Payette, ID",-1.133856608,-0.96415918
"Power, ID",-1.85445232,-1.089142778
"Shoshone, ID",0.347616565,0.101694728
"Teton, ID",0.062660497,-0.367187836
"Twin Falls, ID",-1.004805823,-0.70798162
"Valley, ID",2.314708588,0.627246874
"Washington, ID",-0.4721916,-0.252296082
"Adams, IL",0.311810567,0.875661478
"Alexander, IL",0.203646614,-0.190192431
"Bond, IL",-0.305096942,-0.172337631
"Boone, IL",-1.320346181,-0.891187391
"Brown, IL",-0.353584232,0.083063633
"Bureau, IL",0.525900598,1.217231558
"Calhoun, IL",0.601988344,0.6582987
"Carroll, IL",0.627350926,1.244401905
"Cass, IL",-0.048487289,0.364082653
"Champaign, IL",-0.522916764,-0.14594358
"Christian, IL",0.066390288,0.552722493
"Clark, IL",1.115953608,1.197824167
"Clay, IL",0.805634958,1.020828762
"Clinton, IL",-0.352838273,0.357095993
"Coles, IL",-0.153667409,0.163022084
"Cook, IL",-1.029422446,-1.100010917
"Crawford, IL",0.619891343,1.120194603
"Cumberland, IL",-0.127558868,0.367964132
"DeKalb, IL",-0.877992913,-0.340793784
"De Witt, IL",0.637794342,0.79337414
"Douglas, IL",0.340902941,0.753783063
"DuPage, IL",-0.648983716,-0.106352502
"Edgar, IL",0.549025305,0.937765129
"Edwards, IL",1.525484712,1.387240302
"Effingham, IL",0.740736586,0.834517809
"Fayette, IL",0.491586516,0.696337186
"Ford, IL",0.593036844,1.342991451
"Franklin, IL",0.123083119,0.676153499
"Fulton, IL",0.108909911,0.739809741
"Gallatin, IL",1.059260778,1.325912947
"Greene, IL",0.114877577,0.758440837
"Grundy, IL",-0.366265523,-0.044248851
"Hamilton, IL",1.899209818,2.283861762
"Hancock, IL",0.742974461,1.463317275
"Hardin, IL",-0.332697399,-0.382713749
"Henderson, IL",0.462494143,0.87178
"Henry, IL",0.260339445,1.070511683
"Iroquois, IL",0.064152413,0.617931327
"Jackson, IL",-0.09622862,-0.094708068
"Jasper, IL",0.989886657,1.584419394
"Jefferson, IL",0.399833646,0.426186304
"Jersey, IL",-0.442353269,-0.124207302
"Jo Daviess, IL",0.655697341,0.548841015
"Johnson, IL",-0.13128866,-0.194073909
"Kane, IL",-1.333027472,-1.068959091
"Kankakee, IL",-0.637794342,-0.358648584
"Kendall, IL",-1.170408564,-0.437054443
"Knox, IL",0.000745958,0.506921051
"Lake, IL",-0.98839474,-0.625694283
"La Salle, IL",-0.199170865,0.322162689
"Lawrence, IL",-0.197678948,0.227454621
"Lee, IL",-0.175300199,0.237546465
"Livingston, IL",-0.013427249,0.440159626
"Logan, IL",0.24915007,0.554275084
"McDonough, IL",-0.28421011,0.368740427
"McHenry, IL",-1.129380858,-0.510802529
