state ,county,Obama_12,Romney_12
CT,Thompson,1993,1977
CT,Tolland,3840,4135
CT,Torrington,7320,6843
CT,Trumbull,9986,8703
CT,Union,250,257
CT,Vernon,5079,7546
CT,Voluntown,600,610
CT,Wallingford,9259,11559
CT,Warren,407,404
CT,Washington,824,1237
CT,Waterbury,11043,32495
CT,Waterford,4183,5573
CT,Watertown,6581,4091
CT,Westbrook,1605,1903
CT,WestHartford,10538,21080
CT,WestHaven,5789,14286
CT,Weston,2514,2911
CT,Westport,6439,8494
CT,Wethersfield,6015,7753
CT,Willington,1241,1538
CT,Wilton,5424,4589
CT,Winchester,2389,2201
CT,Windham,1944,5818
CT,Windsor,4305,11461
CT,WindsorLocks,2454,3174
CT,Wolcott,5077,3139
CT,Woodbridge,2104,3018
CT,Woodbury,3058,2434
CT,Woodstock,2134,2021
DC,DistrictofColumbia,222332,17337
DC,DistrictofColumbia,222332,17337
DE,Delaware,242547,165476
DE,Kent,35525,32134
DE,NewCastle,167051,81226
DE,Sussex,39971,52116
FL,Florida,4162081,4235270
FL,Alachua,48765,69634
FL,Baker,8974,2310
FL,Bay,56863,22037
FL,Bradford,8216,3324
FL,Brevard,159270,122972
FL,Broward,243732,507430
FL,Calhoun,4366,1664
FL,Charlotte,47988,35896
FL,Citrus,44657,28453
FL,Clay,69996,25745
FL,Collier,96508,51678
FL,Columbia,18429,8462
FL,DeSoto,5587,4174
FL,Dixie,5052,1798
FL,Duval,211553,196657
FL,Escambia,88671,58154
FL,Flagler,26966,23204
FL,Franklin,3570,1845
FL,Gadsden,6628,15768
FL,Gilchrist,5917,1885
FL,Glades,2344,1603
FL,Gulf,4995,2013
FL,Hamilton,3137,2226
FL,Hardee,4694,2461
FL,Hendry,5355,4751
FL,Hernando,44906,37791
FL,Highlands,25912,16147
FL,Hillsborough,249904,286158
FL,Holmes,6919,1264
FL,IndianRiver,43441,27483
FL,Jackson,13417,7342
FL,Jefferson,3808,3945
FL,Lafayette,2668,687
FL,Lake,87637,61790
FL,Lee,154112,110080
FL,Leon,55806,90863
FL,Levy,12052,6118
FL,Liberty,2301,942
FL,Madison,4474,4174
FL,Manatee,85616,66476
FL,Marion,93036,66823
FL,Martin,48180,30097
FL,Miami-Dade,332602,540776
FL,Monroe,19234,19392
FL,Nassau,29926,10249
FL,Okaloosa,70143,23390
FL,Okeechobee,7325,4856
FL,Orange,189057,274227
FL,Osceola,40581,67201
FL,PalmBeach,247257,349418
FL,Pasco,112335,98148
FL,Pinellas,213192,238966
FL,Polk,131566,114610
FL,Putnam,19326,11666
FL,St.Johns,78490,35155
FL,St.Lucie,56202,65869
FL,SantaRosa,58169,17757
FL,Sarasota,110489,95089
FL,Seminole,109939,96435
FL,Sumter,40644,19519
FL,Suwannee,12672,4749
FL,Taylor,6249,2761
FL,Union,3980,1339
FL,Volusia,117473,114716
FL,Wakulla,9288,5173
FL,Walton,21483,6665
FL,Washington,8037,2820
GA,Georgia,2070221,1761761
GA,Appling,5231,1756
GA,Atkinson,1938,930
GA,Bacon,3092,791
GA,Baker,784,790
GA,Baldwin,7585,8469
GA,Banks,5353,779
GA,Barrow,18719,6019
GA,Bartow,26847,8383
GA,BenHill,3395,2508
GA,Berrien,4837,1268
GA,Bibb,25606,38538
GA,Bleckley,3586,1266
GA,Brantley,4963,939
GA,Brooks,3522,3101
GA,Bryan,9537,3695
GA,Bulloch,14159,9572
GA,Burke,4298,5403
GA,Butts,6306,2966
GA,Calhoun,883,1297
GA,Camden,11318,6358
GA,Candler,2344,1155
GA,Carroll,28249,12635
GA,Catoosa,17848,5357
GA,Charlton,2527,1197
GA,Chatham,47083,60077
GA,Chattahoochee,732,726
GA,Chattooga,5434,2220
GA,Cherokee,76473,19813
GA,Clarke,13804,25386
GA,Clay,537,862
GA,Clayton,14158,81439
GA,Clinch,1598,852
GA,Cobb,171464,132526
GA,Coffee,9242,5048
GA,Colquitt,9240,3971
GA,Columbia,41724,16420
GA,Cook,3934,2042
GA,Coweta,39633,15156
GA,Crawford,3366,1699
GA,Crisp,4179,3160
GA,Dade,4458,1404
GA,Dawson,8843,1241
GA,Decatur,5816,4580
GA,DeKalb,64308,237704
GA,Dodge,5214,2440
GA,Dooly,1983,2278
GA,Dougherty,11441,26209
GA,Douglas,26226,28410
GA,Early,2556,2762
GA,Echols,917,173
GA,Effingham,15591,4941
GA,Elbert,4857,3179
GA,Emanuel,5086,2919
GA,Evans,2267,1266
GA,Fannin,7853,2027
GA,Fayette,38046,19703
GA,Floyd,22636,9595
GA,Forsyth,65853,14544
GA,Franklin,6112,1499
GA,Fulton,133837,248479
GA,Gilmer,8920,1955
GA,Glascock,1135,176
GA,Glynn,20853,11922
GA,Gordon,13174,3436
GA,Grady,5922,3419
GA,Greene,5067,3195
GA,Gwinnett,159563,131879
GA,Habersham,12148,2297
GA,Hall,45918,12489
GA,Hancock,764,3301
GA,Haralson,8439,1787
GA,Harris,11193,4141
GA,Hart,6516,2869
GA,Heard,3155,947
GA,Henry,46299,43374
GA,Houston,34631,22643
GA,Irwin,2519,1134
GA,Jackson,19122,4236
GA,Jasper,4121,1839
GA,JeffDavis,3994,1271
GA,Jefferson,2992,4238
GA,Jenkins,1884,1487
GA,Johnson,2440,1305
GA,Jones,7740,4272
GA,Lamar,4896,2602
GA,Lanier,1812,1108
GA,Laurens,11947,7508
GA,Lee,10310,3187
GA,Liberty,5558,10427
GA,Lincoln,2806,1586
GA,Long,2300,1434
GA,Lowndes,21176,17118
GA,Lumpkin,8633,2049
GA,Macon,1545,3211
GA,Madison,8441,2486
GA,Marion,1731,1411
GA,McDuffie,5475,4041
GA,McIntosh,3405,2860
GA,Meriwether,4855,4328
GA,Miller,1904,848
GA,Mitchell,4153,4081
GA,Monroe,8352,3779
GA,Montgomery,2662,1135
GA,Morgan,6178,2751
GA,Murray,8439,2542
GA,Muscogee,27469,42458
GA,Newton,20979,21844
GA,Oconee,12222,4140
GA,Oglethorpe,4250,1913
GA,Paulding,40771,15779
GA,Peach,5280,6141
GA,Pickens,10547,1975
GA,Pierce,5666,1124
GA,Pike,6660,1355
GA,Polk,9798,3608
GA,Pulaski,2444,1219
GA,Putnam,6210,2917
GA,Quitman,510,612
GA,Rabun,5753,1558
GA,Randolph,1249,1749
GA,Richmond,25821,52461
GA,Rockdale,15671,21878
GA,Schley,1286,448
GA,Screven,3285,2769
GA,Seminole,2244,1475
GA,Spalding,14901,9884
GA,Stephens,7207,2123
GA,Stewart,740,1307
GA,Sumter,5372,6370
GA,Talbot,1202,2264
GA,Taliaferro,321,636
GA,Tattnall,4702,1894
GA,Taylor,1948,1571
GA,Telfair,2479,1804
GA,Terrell,1834,2544
GA,Thomas,11153,7651
GA,Tift,9171,4640
GA,Toombs,6519,2740
GA,Towns,4834,1265
GA,Treutlen,1646,1068
GA,Troup,15170,10545
GA,Turner,2027,1508
GA,Twiggs,1905,2269
GA,Union,8771,2137
GA,Upson,7229,3955
GA,Walker,16245,5269
GA,Walton,29018,8139
GA,Ware,7933,3892
GA,Warren,990,1525
GA,Washington,4033,4705
GA,Wayne,7553,2594
GA,Webster,598,573
GA,Wheeler,1366,772
GA,White,8647,1670
GA,Whitfield,19290,7193
GA,Wilcox,2050,1059
GA,Wilkes,2628,2080
GA,Wilkinson,2245,2180
GA,Worth,5864,2486
HI,Hawaii,303090,119494
HI,Hawaii,46670,14541
HI,Honolulu,201803,87255
HI,Kauai,18638,6121
HI,Maui,35979,11577
IA,Iowa,816429,727928
IA,Adair,1788,2110
IA,Adams,1018,1103
IA,Allamakee,3511,3230
IA,Appanoose,2934,3153
IA,Audubon,1608,1800
IA,Benton,6850,6935
IA,BlackHawk,39338,26078
IA,Boone,7457,6540
IA,Bremer,6710,6383
IA,Buchanan,5903,4443
IA,BuenaVista,3683,4548
IA,Butler,3321,4104
IA,Calhoun,2232,2890
IA,Carroll,4912,5577
IA,Cass,2856,4212
IA,Cedar,4931,4510
IA,CerroGordo,13204,10084
IA,Cherokee,2623,3656
IA,Chickasaw,3552,2836
IA,Clarke,2187,2124
IA,Clay,3363,4934
IA,Clayton,4768,4146
IA,Clinton,15123,9423
IA,Crawford,3035,3584
IA,Dallas,16466,20921
IA,Davis,1518,2133
IA,Decatur,1790,1945
IA,Delaware,4605,4628
IA,DesMoines,11873,8130
IA,Dickinson,4088,5911
IA,Dubuque,28600,21265
IA,Emmet,2087,2499
IA,Fayette,5709,4484
IA,Floyd,4674,3466
IA,Franklin,2256,2818
IA,Fremont,1636,1971
IA,Greene,2369,2373
IA,Grundy,2615,4205
IA,Guthrie,2565,3164
IA,Hamilton,3776,3986
IA,Hancock,2506,3306
IA,Hardin,4021,4647
IA,Harrison,3131,4059
IA,Henry,4451,5025
IA,Howard,2767,1793
IA,Humboldt,1967,3099
IA,Ida,1317,2276
IA,Iowa,4118,4551
IA,Jackson,5877,4171
IA,Jasper,10240,8868
IA,Jefferson,4772,3429
IA,Johnson,50090,23556
IA,Jones,5514,4712
IA,Keokuk,2298,2840
IA,Kossuth,3824,4914
IA,Lee,9428,6787
IA,Linn,68028,47427
IA,Louisa,2449,2416
IA,Lucas,1977,2248
IA,Lyon,1416,4965
IA,Madison,3508,4492
IA,Mahaska,4207,6420
IA,Marion,7478,9810
IA,Marshall,10085,8411
IA,Mills,2842,4211
IA,Mitchell,2831,2643
IA,Monona,2098,2555
IA,Monroe,1729,2022
IA,Montgomery,1919,2999
IA,Muscatine,11213,8152
IA,O'Brien,1964,5259
IA,Osceola,909,2225
IA,Page,2588,4338
IA,PaloAlto,2124,2649
IA,Plymouth,4148,8577
IA,Pocahontas,1518,2388
IA,Polk,128264,96029
IA,Pottawattamie,19347,21751
IA,Poweshiek,5307,4409
IA,Ringgold,1181,1366
IA,Sac,2117,3086
IA,Scott,50581,38223
IA,Shelby,2468,3903
IA,Sioux,2683,14361
IA,Story,25940,19557
IA,Tama,4737,4076
IA,Taylor,1261,1680
IA,Union,3029,2800
IA,VanBuren,1398,2058
IA,Wapello,8616,6777
IA,Warren,12521,13031
IA,Washington,5081,5540
IA,Wayne,1251,1583
IA,Webster,9458,8453
IA,Winnebago,2895,2897
IA,Winneshiek,6245,4618
IA,Woodbury,22026,22136
IA,Worth,2343,1743
IA,Wright,2794,3309
ID,Idaho,212560,420750
ID,Ada,77043,97471
ID,Adams,577,1413
ID,Bannock,13214,21010
ID,BearLake,302,2489
ID,Benewah,1164,2596
ID,Bingham,3822,13440
ID,Blaine,5992,3939
ID,Boise,953,2284
ID,Bonner,6500,11367
ID,Bonneville,9929,32336
ID,Boundary,1225,3138
ID,Butte,258,1001
ID,Camas,159,402
ID,Canyon,19866,44369
ID,Caribou,385,2608
ID,Cassia,1093,7150
ID,Clark,66,235
ID,Clearwater,1032,2541
ID,Custer,530,1744
ID,Elmore,2513,5227
ID,Franklin,325,5195
ID,Fremont,810,4907
ID,Gem,1957,5311
ID,Gooding,1287,3696
ID,IdahoCounty,1722,5821
ID,Jefferson,1303,9895
ID,Jerome,1699,4804
ID,Kootenai,18824,39347
ID,Latah,8306,7589
ID,Lemhi,960,3029
ID,Lewis,396,1173
ID,Lincoln,429,1141
ID,Madison,832,13445
ID,Minidoka,1390,5442
ID,NezPerce,6451,9967
ID,Oneida,217,1838
ID,Owyhee,833,2794
ID,Payette,2271,6004
ID,Power,982,1870
ID,Shoshone,2277,2699
ID,Teton,1926,2458
ID,TwinFalls,7541,19773
ID,Valley,2095,2664
ID,Washington,1104,3128
IL,Illinois,2916811,2090116
IL,Adams,9627,20371
IL,Alexander,1961,1485
IL,Bond,3016,4091
IL,Boone,9868,11084
IL,Brown,787,1511
IL,Bureau,8118,8151
IL,Calhoun,1079,1439
IL,Carroll,3658,3551
IL,Cass,2050,2707
IL,Champaign,40378,35086
IL,Christian,5487,8873
IL,Clark,2587,5138
IL,Clay,1581,4184
IL,Clinton,5577,10493
IL,Coles,9252,11623
IL,Cook,1439123,479204
IL,Crawford,2855,5577
IL,Cumberland,1640,3506
IL,DeKalb,21171,18906
IL,DeWitt,2598,4576
IL,Douglas,2426,5331
IL,DuPage,197411,193333
IL,Edgar,2563,5125
IL,Edwards,754,2402
IL,Effingham,3855,12491
IL,Fayette,2848,5950
IL,Ford,1654,4225
IL,Franklin,7245,10253
IL,Fulton,8324,6622
IL,Gallatin,1028,1492
IL,Greene,2023,3446
IL,Grundy,9319,11198
IL,Hamilton,1266,2566
IL,Hancock,3246,4810
IL,Hardin,742,1535
IL,Henderson,1977,1538
IL,Henry,12316,11564
IL,Iroquois,3408,9115
IL,Jackson,11306,9130
IL,Jasper,1434,3511
IL,Jefferson,6080,9805
IL,Jersey,3656,6032
IL,JoDaviess,5660,5529
IL,Johnson,1571,3959
IL,Kane,91120,89502
IL,Kankakee,21574,23115
IL,Kendall,21219,23076
IL,Knox,12993,9133
IL,Lake,151552,128609
IL,LaSalle,23023,23207
IL,Lawrence,2010,3853
IL,Lee,6932,8046
IL,Livingston,5014,9745
IL,Logan,3974,7835
IL,McDonough,5957,6142
IL,McHenry,59691,71488
IL,McLean,31590,39638
IL,Macon,22688,25249
IL,Macoupin,9440,10909
IL,Madison,58813,60481
IL,Marion,6210,9229
IL,Marshall,2452,3287
IL,Mason,2867,3265
IL,Massac,2092,4278
IL,Menard,2095,3944
IL,Mercer,4503,3874
IL,Monroe,6205,10879
IL,Montgomery,5053,6771
IL,Morgan,5792,7962
IL,Moultrie,2142,3781
IL,Ogle,9504,13409
IL,Peoria,40050,36617
IL,Perry,3813,5497
IL,Piatt,3081,5412
IL,Pike,2276,4853
IL,Pope,649,1511
IL,Pulaski,1389,1562
IL,Putnam,1558,1500
IL,Randolph,5753,8284
IL,Richland,2360,4750
IL,RockIsland,39081,24888
IL,St.Clair,66749,49610
IL,Saline,3697,6803
IL,Sangamon,41961,50131
IL,Schuyler,1726,2062
IL,Scott,910,1586
IL,Shelby,3336,6837
IL,Stark,1095,1527
IL,Stephenson,7954,8742
IL,Tazewell,24385,35266
IL,Union,3135,4951
IL,Vermilion,10773,14888
IL,Wabash,1588,3473
IL,Warren,3893,3460
IL,Washington,2448,4787
IL,Wayne,1514,5984
IL,White,2187,4729
IL,Whiteside,12393,8676
IL,Will,127522,118366
IL,Williamson,10622,17880
IL,Winnebago,60334,53722
IL,Woodford,5564,12947
IN,Indiana,1140425,1412620
IN,Adams,3800,8936
IN,Allen,59834,84378
IN,Bartholomew,10622,18083
IN,Benton,1159,2329
IN,Blackford,1927,2710
IN,Boone,8326,18807
IN,Brown,3056,4330
IN,Carroll,2631,4993
IN,Cass,5365,8432
IN,Clark,20775,25422
IN,Clay,3630,7065
IN,Clinton,3307,6338
IN,Crawford,2040,2418
IN,Daviess,2437,7638
IN,Dearborn,6527,15391
IN,Decatur,2941,7119
IN,DeKalb,5419,10586
IN,Delaware,22630,21231
IN,Dubois,6522,11654
IN,Elkhart,24376,42348
IN,Fayette,3553,5044
IN,Floyd,14805,19868
IN,Fountain,2233,4660
IN,Franklin,2907,7421
IN,Fulton,2621,5315
IN,Gibson,4928,9487
IN,Grant,9589,15148
IN,Greene,4340,8457
IN,Hamilton,43794,90740
IN,Hancock,9303,22750
IN,Harrison,6600,10629
IN,Hendricks,21100,44308
IN,Henry,7613,10836
IN,Howard,15097,20284
IN,Huntington,4596,10862
IN,Jackson,5838,10419
IN,Jasper,4672,7955
IN,Jay,3063,4643
IN,Jefferson,5728,7096
IN,Jennings,3818,6112
IN,Johnson,17080,39136
IN,Knox,5228,9612
IN,Kosciusko,6862,22553
IN,LaGrange,2897,6227
IN,Lake,130824,68397
IN,LaPorte,24104,18609
IN,Lawrence,5779,11622
IN,Madison,24404,26755
IN,Marion,215474,136131
IN,Marshall,6136,11260
IN,Martin,1351,3262
IN,Miami,4220,8163
IN,Monroe,22885,16254
IN,Montgomery,4244,9768
IN,Morgan,7969,19591
IN,Newton,2212,3291
IN,Noble,5229,10680
IN,Ohio,992,1757
IN,Orange,2939,4615
IN,Owen,2823,5062
IN,Parke,2106,4228
IN,Perry,4314,3403
IN,Pike,2125,3627
IN,Porter,36950,34197
IN,Posey,4531,7427
IN,Pulaski,1899,3366
IN,Putnam,4504,9004
IN,Randolph,3768,6218
IN,Ripley,3241,7484
IN,Rush,2221,4633
IN,St.Joseph,56458,52575
IN,Scott,3998,4539
IN,Shelby,5357,10972
IN,Spencer,4026,5515
IN,Starke,3809,4738
IN,Steuben,4846,8542
IN,Sullivan,3191,4902
IN,Switzerland,1437,1872
IN,Tippecanoe,26642,28708
IN,Tipton,2432,4773
IN,Union,1018,2022
IN,Vanderburgh,31659,39504
IN,Vermillion,2979,3426
IN,Vigo,19707,19368
IN,Wabash,3929,8528
IN,Warren,1324,2377
IN,Warrick,8791,15350
IN,Washington,3909,6532
IN,Wayne,10591,14321
